TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,CorrectAnswer,thisRow.t,notes,Initialize.started,Initialize.stopped,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,ker_resp.started,GroupSelection.stopped,ker_resp.keys,ker_resp.rt,ker_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,Response.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.011444916999607813,0.01179204200161621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354099,001,2024-06-21_10h06.27.765,5-7,2024.1.4,None,2024-06-21 10h06.33.905153 +0900,
,,,,,,,,,,,,,,0.011827834001451265,0.011972416999924462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354099,001,2024-06-21_10h06.27.765,5-7,2024.1.4,None,2024-06-21 10h06.33.905153 +0900,
,,,,,,,,,,,,,,,,0.011987792000581976,0.018021959003817756,0.018021959003817756,0.7024897920055082,1,0.6390962080040481,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354099,001,2024-06-21_10h06.27.765,5-7,2024.1.4,None,2024-06-21 10h06.33.905153 +0900,
,,,,,,,,,,,,,,,,,,,,,,,0.7025095420030993,0.7537819999997737,5.699509999998554,5.703065916666916,5.699509999998554,5.751142625005741,10.707612000671604,15.697601416999532,15.697601416999532,15.697601416999532,15.703493541670712,15.697601416999532,20.707027833665293,25.692385624999588,25.692385624999588,25.699144875005004,25.709052291666254,25.699144875005004,30.705787333670983,35.69670966700505,35.69670966700505,35.69670966700505,35.70845175067031,35.69670966700505,40.7078883336692,45.694861459000094,45.694861459000094,45.68140412500361,,,,,,,,,,,,,354099,001,2024-06-21_10h06.27.765,5-7,2024.1.4,None,2024-06-21 10h06.33.905153 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.68141966700205,45.699185459001455,50.7375882500055,50.68548241700046,,,,,,,,,354099,001,2024-06-21_10h06.27.765,5-7,2024.1.4,None,2024-06-21 10h06.33.905153 +0900,
,,,,,,,,,,50.7375882500055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.70862725000188,50.7375882500055,50.7375882500055,50.7375882500055,50.7375882500055,50.734551541999096,50.7375882500055,50.7375882500055,,,,,,,,
