SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase3Loop.thisRepN,testPhase3Loop.thisTrialN,testPhase3Loop.thisN,testPhase3Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,text_2.stopped,image.started,sound_7.started,text_4.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,text_14.started,text_14.stopped,Instructions.stopped,Countdown.started,number1.started,number1.stopped,number2.started,number2.stopped,number3.started,number3.stopped,start.started,start.stopped,silence.started,silence.stopped,Countdown.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,SessionNumberText.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,Break.started,Break.stopped,mouse3.x,mouse3.y,mouse3.leftButton,mouse3.midButton,mouse3.rightButton,mouse3.time,mouse3.clicked_name,Proceed_Break,break_message.started,mouse3.started,checkbox3.started,text_component.started,CheckAccuracy3.started,accuracy_group3,proceed_to_test,CheckAccuracy3.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase3.started,test3_image1.started,test3_image2.started,test3_image3.started,test3_image4.started,test3_sound.started,text_10.started,test3_response_keyboard.started,TestPhase3.stopped,test3_response_keyboard.keys,test3_response_keyboard.rt,test3_response_keyboard.duration,test3_response,test3_image_file1,test3_image_file2,test3_image_file3,test3_image_file4,test3_sound_file,english_correct_answer,persian_correct_answer,finish.started,text_11.started,text_11.stopped,finish.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-9-En.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,72,0,50,50,68,,,,,226.26027095799873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.24013312500028,226.26027095799873,226.26027095799873,226.26027095799873,226.26027095799873,226.25416174966475,226.26027095799873,226.26027095799873,226.26027095799873,226.8874441250009,Incorrect! The correct answer is Speaker4.,0,1,1,0.6235578749983688,None,226.89155758299967,226.89831379099996,228.90355933300089,228.88162349999766,228.88165324999864,228.88216429100066,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-15-En.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,72,0,51,51,74,,,,,228.90355933300089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.883456208001,228.90355933300089,228.90355933300089,228.90355933300089,228.90355933300089,228.8974044166646,228.90355933300089,228.90355933300089,228.90355933300089,229.1469360409974,Incorrect! The correct answer is Speaker4.,0,1,1,0.23806025000158115,None,229.15090116599822,229.1576573329985,231.16774654099936,231.1447992909998,231.14482445799877,231.14520866599923,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-5-En.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,72,0,52,52,4,,,,,231.16774654099936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.14684454099915,231.16774654099936,231.16774654099936,231.16774654099936,231.16774654099936,231.17743737433244,231.16774654099936,231.16774654099936,231.16774654099936,231.3703696659977,Correct!,1,1,1,0.2016632920021948,None,231.37440174999938,231.38504366599955,233.38935712500097,233.3702140409987,233.37025520799943,233.37039775000085,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-17-En.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,72,0,53,53,16,,,,,233.38935712500097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.37091325000074,233.38935712500097,233.38935712500097,233.38935712500097,233.38935712500097,233.38599166666634,233.38935712500097,233.38935712500097,233.38935712500097,233.67766299999857,Correct!,1,1,1,0.28018695799983107,None,233.68156341599752,233.68761912499758,235.70106637500066,235.6803313749988,235.680359957998,235.68066420800096,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-20-En.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,72,0,54,54,39,,,,,235.70106637500066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.68193262500063,235.70106637500066,235.70106637500066,235.70106637500066,235.70106637500066,235.6961184166651,235.70106637500066,235.70106637500066,235.70106637500066,235.90860020800028,Incorrect! The correct answer is Speaker2.,0,1,1,0.20570795800085762,None,235.9125291249984,235.92315616599808,237.93360970799768,237.91197320799984,237.91199812500054,237.91230449999784,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-5-En.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,72,0,55,55,44,,,,,237.93360970799768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.91350266600057,237.93360970799768,237.93360970799768,237.93360970799768,237.93360970799768,237.9280091246658,237.93360970799768,237.93360970799768,237.93360970799768,238.191364833001,Incorrect! The correct answer is Speaker3.,0,1,1,0.25660016699839616,None,238.1956602499995,238.2066933749993,240.21051595799872,240.19059274999745,240.19060179100052,240.19071516599797,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-10-En.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,72,0,56,56,9,,,,,240.21051595799872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.19117695800014,240.21051595799872,240.21051595799872,240.21051595799872,240.21051595799872,240.2070935416671,240.21051595799872,240.21051595799872,240.21051595799872,240.45342337499824,Correct!,1,1,1,0.2418971250008326,None,240.45756820799943,240.46788000000015,242.4831232079996,242.45798558299794,242.45801633299925,242.45854579099978,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-18-En.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,72,0,57,57,57,,,,,242.4831232079996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.4600967080005,242.4831232079996,242.4831232079996,242.4831232079996,242.4831232079996,242.4903294993315,242.4831232079996,242.4831232079996,242.4831232079996,242.6851364159993,Incorrect! The correct answer is Speaker3.,0,1,1,0.1972135830001207,None,242.68924941599835,242.7000062909974,244.70523762499943,244.68711858299866,244.6871282079992,244.68722933299796,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-9-En.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,72,0,58,58,28,,,,,244.70523762499943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.6876503329986,244.70523762499943,244.70523762499943,244.70523762499943,244.70523762499943,244.7035956666662,244.70523762499943,244.70523762499943,244.70523762499943,245.06244295799843,Incorrect! The correct answer is Speaker2.,0,1,1,0.34894675000032294,None,245.06666795799902,245.07567974999984,247.0794927909992,247.059856666001,247.05988254099793,247.05999370800055,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-7-En.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,72,0,59,59,66,,,,,247.0794927909992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.06041258299956,247.0794927909992,247.0794927909992,247.0794927909992,247.0794927909992,247.0762991246668,247.0794927909992,247.0794927909992,247.0794927909992,247.2548939579974,Incorrect! The correct answer is Speaker4.,0,1,1,0.170772333000059,None,247.25912945799791,247.27045166599783,249.2761049159999,249.25487545799842,249.25489866600037,249.25519625000015,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893010,001,2024-08-04_14h43.37.994,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 14h43.43.157519 +0900,
