SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,testPhase2Loop.thisRepN,testPhase2Loop.thisTrialN,testPhase2Loop.thisN,testPhase2Loop.thisIndex,testPhase3Loop.thisRepN,testPhase3Loop.thisTrialN,testPhase3Loop.thisN,testPhase3Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,Response3.keys,Response3.rt,Response3.duration,correct_responses_group3,total_trials_group3,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,CheckAccuracy.started,accuracy_group1,accuracy_group2,accuracy_group3,proceed_to_test,CheckAccuracy.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,TestPhase2.started,TestPhase2.stopped,test2_response_keyboard.keys,test2_response,test2_image_file1,test2_image_file2,test2_image_file3,test2_image_file4,test2_sound_file,TestPhase3.started,test3_image1.started,test3_image2.started,test3_image3.started,test3_image4.started,test3_sound.started,text_10.started,test3_response_keyboard.started,TestPhase3.stopped,test3_response_keyboard.keys,test3_response_keyboard.rt,test3_response_keyboard.duration,test3_response,test3_image_file1,test3_image_file2,test3_image_file3,test3_image_file4,test3_sound_file,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-15-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,47,47,74,,,,,,,,,,,,,215.82332849999875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.79709829099738,215.82332849999875,215.82332849999875,215.82332849999875,215.82332849999875,215.8295437913335,215.82332849999875,215.82332849999875,216.12335687499944,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.29549945799954,None,0,48,216.1272923329998,216.1403723330004,218.13460191599734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634374,001,2024-06-30_21h15.14.464,5-24,2024.1.4,None,2024-06-30 21h15.19.363816 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-16-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,48,48,75,,,,,,,,,,,,,218.15644145799888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.13477874999808,218.15644145799888,218.15644145799888,218.15644145799888,218.15644145799888,218.15123512466405,218.15644145799888,218.15644145799888,218.26638679099779,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.10886737500186427,None,0,49,218.27008695800032,218.28294783299862,220.2770294999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634374,001,2024-06-30_21h15.14.464,5-24,2024.1.4,None,2024-06-30 21h15.19.363816 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-4-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,49,49,13,,,,,,,,,,,,,220.2984074579981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.27719270799935,220.2984074579981,220.2984074579981,220.2984074579981,220.2984074579981,220.29365774966598,220.2984074579981,220.2984074579981,220.65335916599724,Correct! صحیح است,1,0.35162237500117044,None,0,50,220.6572912499978,220.66817554099907,222.66154466599983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634374,001,2024-06-30_21h15.14.464,5-24,2024.1.4,None,2024-06-30 21h15.19.363816 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-14-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,50,50,53,,,,,,,,,,,,,222.68732195799748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.6621314160002,222.68732195799748,222.68732195799748,222.68732195799748,222.68732195799748,222.69470245833196,222.68732195799748,222.68732195799748,223.00557504099925,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,0.3116385409994109,None,0,51,223.01049837499886,223.0249648329991,225.01275879099921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634374,001,2024-06-30_21h15.14.464,5-24,2024.1.4,None,2024-06-30 21h15.19.363816 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-8-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,51,51,7,,,,,,,,,,,,,225.0341188329985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.01295712499996,225.0341188329985,225.0341188329985,225.0341188329985,225.0341188329985,225.02936149966652,225.0341188329985,225.0341188329985,225.21921054099948,Correct! صحیح است,1,0.17334712500087335,None,0,52,225.22325633299988,225.23380008299864,227.216562374997,227.23731483299707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634374,001,2024-06-30_21h15.14.464,5-24,2024.1.4,None,2024-06-30 21h15.19.363816 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-17-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,52,52,16,,,,,,,,,,,,,227.23731483299707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.2167407909983,227.23731483299707,227.23731483299707,227.23731483299707,227.23731483299707,227.23295649966556,227.23731483299707,227.23731483299707,236.61633049999728,Correct! صحیح است,1,9.376192208001157,None,0,53,236.61655070800043,236.6280850410003,238.61866649999865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634374,001,2024-06-30_21h15.14.464,5-24,2024.1.4,None,2024-06-30 21h15.19.363816 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-17-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,53,53,76,,,,,,,,,,,,,238.64192470799753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.6192094580001,238.64192470799753,238.64192470799753,238.64192470799753,238.64192470799753,238.65184120833197,238.64192470799753,238.64192470799753,239.6049669999993,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.9554554169990297,None,0,54,239.60897295799805,239.62175645800016,241.60538258299857,241.6265312079995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634374,001,2024-06-30_21h15.14.464,5-24,2024.1.4,None,2024-06-30 21h15.19.363816 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-12-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,54,54,51,,,,,,,,,,,,,241.6265312079995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.6055424160004,241.6265312079995,241.6265312079995,241.6265312079995,241.6265312079995,241.62180262466453,241.6265312079995,241.6265312079995,242.6371690829983,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,1.0047851670024102,None,0,55,242.64118274999782,242.6539503749991,244.64405249999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634374,001,2024-06-30_21h15.14.464,5-24,2024.1.4,None,2024-06-30 21h15.19.363816 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-6-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,55,55,25,,,,,,,,,,,,,244.66756995799733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.64473291600007,244.66756995799733,244.66756995799733,244.66756995799733,244.66756995799733,244.67719987433208,244.66756995799733,244.66756995799733,245.0016627499972,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,0.32473816700075986,None,0,56,245.00655266600006,245.0207861659983,247.0122921660004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634374,001,2024-06-30_21h15.14.464,5-24,2024.1.4,None,2024-06-30 21h15.19.363816 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-18-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,56,56,37,,,,,,,,,,,,,247.03280429099686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.0124542079975,247.03280429099686,247.03280429099686,247.03280429099686,247.03280429099686,247.0289219166664,247.03280429099686,247.03280429099686,247.30228654099847,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,0.2654522500015446,None,0,57,247.3061711249975,247.3181365829987,249.30133745799685,249.32289899999887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634374,001,2024-06-30_21h15.14.464,5-24,2024.1.4,None,2024-06-30 21h15.19.363816 +0900,
