SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,Response3.keys,Response3.rt,Response3.duration,correct_responses_group3,total_trials_group3,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,TransitionRoutine.started,TransitionRoutine.stopped,nextRoutine,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-3-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,5,5,62,,,,,58.58734041699972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.563390417000846,58.58734041699972,58.58734041699972,58.58734041699972,58.58734041699972,58.59376383333304,58.58734041699972,58.58734041699972,58.5880164170012,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,2.1420507920011005,None,0,6,58.588402000001224,58.599078750001354,60.59676341700106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559566,001,2024-06-30_14h13.47.657,5-23,2024.1.4,None,2024-06-30 14h13.52.413921 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-9-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,6,6,68,,,,,60.62056466700051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.59729441700074,60.62056466700051,60.62056466700051,60.62056466700051,60.62056466700051,60.62995641633327,60.62056466700051,60.62056466700051,60.652688792000845,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.02363958299974911,None,0,7,60.65685762500107,60.66952641700118,62.65391591700063,62.67745533299967,,,,,,,,,,,,,,,,,,,,,,,,,,,,559566,001,2024-06-30_14h13.47.657,5-23,2024.1.4,None,2024-06-30 14h13.52.413921 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-4-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,7,7,3,,,,,62.67745533299967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.654068292000375,62.67745533299967,62.67745533299967,62.67745533299967,62.67745533299967,62.66990112466762,62.67745533299967,62.67745533299967,62.678099374999874,Correct! صحیح است,1,2.030873749999955,None,0,8,62.681858542000555,62.690429125001174,64.67795737500091,64.69922525000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,559566,001,2024-06-30_14h13.47.657,5-23,2024.1.4,None,2024-06-30 14h13.52.413921 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-5-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,8,8,24,,,,,64.69922525000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.67814166700009,64.69922525000038,64.69922525000038,64.69922525000038,64.69922525000038,64.69444379166659,64.69922525000038,64.69922525000038,64.70582879200083,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,0.00503295800081105,None,0,9,64.70998554200014,64.72240212500037,66.70925533300033,66.73060400000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,559566,001,2024-06-30_14h13.47.657,5-23,2024.1.4,None,2024-06-30 14h13.52.413921 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-7-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,9,9,66,,,,,66.73060400000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7094089580005,66.73060400000031,66.73060400000031,66.73060400000031,66.73060400000031,66.72563245866719,66.73060400000031,66.73060400000031,66.73117812500095,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,1.9784223749993544,None,0,10,66.73531833299967,66.7454052080011,68.73077266700056,68.75243291700099,,,,,,,,,,,,,,,,,,,,,,,,,,,,559566,001,2024-06-30_14h13.47.657,5-23,2024.1.4,None,2024-06-30 14h13.52.413921 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-13-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,10,10,32,,,,,68.75243291700099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.73092058300062,68.75243291700099,68.75243291700099,68.75243291700099,68.75243291700099,68.74723512466723,68.75243291700099,68.75243291700099,68.75298479200137,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,1.948685542000021,None,0,11,68.75717799999984,68.76745787500113,70.75624370800142,70.78026487500028,,,,,,,,,,,,,,,,,,,,,,,,,,,,559566,001,2024-06-30_14h13.47.657,5-23,2024.1.4,None,2024-06-30 14h13.52.413921 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-15-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,11,11,34,,,,,70.78026487500028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.756411458,70.78026487500028,70.78026487500028,70.78026487500028,70.78026487500028,70.7722588336676,70.78026487500028,70.78026487500028,70.78089254200131,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,1.9947873750006693,None,0,12,70.78502875000049,70.79471970800114,72.78327820800041,72.80726945800052,,,,,,,,,,,,,,,,,,,,,,,,,,,,559566,001,2024-06-30_14h13.47.657,5-23,2024.1.4,None,2024-06-30 14h13.52.413921 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-17-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,12,12,56,,,,,72.80726945800052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.78388825000002,72.80726945800052,72.80726945800052,72.80726945800052,72.80726945800052,72.81578333333394,72.80726945800052,72.80726945800052,72.89105420800115,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,0.07177766699896893,None,0,13,72.89475570800096,72.90717745800066,74.90139362500122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559566,001,2024-06-30_14h13.47.657,5-23,2024.1.4,None,2024-06-30 14h13.52.413921 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-8-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,13,13,27,,,,,74.92691970800115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.90198775000135,74.92691970800115,74.92691970800115,74.92691970800115,74.92691970800115,74.93454300033457,74.92691970800115,74.92691970800115,74.98086241700003,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,0.05205674999888288,None,0,14,74.98472179200144,74.99678808300087,76.99310241700005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559566,001,2024-06-30_14h13.47.657,5-23,2024.1.4,None,2024-06-30 14h13.52.413921 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-2-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,14,14,21,,,,,77.01451925000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.99327266700129,77.01451925000038,77.01451925000038,77.01451925000038,77.01451925000038,77.00972962466791,77.01451925000038,77.01451925000038,77.01516400000037,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,2.0133750829991186,None,0,15,77.0191173330004,77.02865466700132,79.01603991699994,79.04089116700015,,,,,,,,,,,,,,,,,,,,,,,,,,,,559566,001,2024-06-30_14h13.47.657,5-23,2024.1.4,None,2024-06-30 14h13.52.413921 +0900,
