SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,CorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,Initialize.started,Initialize.stopped,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,ker_resp.started,GroupSelection.stopped,ker_resp.keys,ker_resp.rt,ker_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image_7.started,sound_9.started,text_5.started,image.stopped,text_4.stopped,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,TrainingGroup1.stopped,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,Feedback,FeedbackText.started,FeedbackRoutine1.stopped,FeedbackText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.009336959003121592,0.009642709002946503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225779,001,2024-06-21_12h15.50.933,5-7,2024.1.4,None,2024-06-21 12h15.57.939990 +0900,
,,,,,,,,,,,,,,0.009658333998231683,0.009812999996938743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225779,001,2024-06-21_12h15.50.933,5-7,2024.1.4,None,2024-06-21 12h15.57.939990 +0900,
,,,,,,,,,,,,,,,,0.009819375001825392,0.015059208999446128,0.015059208999446128,0.5955452499983949,1,0.5465383329938049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225779,001,2024-06-21_12h15.50.933,5-7,2024.1.4,None,2024-06-21 12h15.57.939990 +0900,
,,,,,,,,,,,,,,,,,,,,,,,0.595565916999476,0.6675253339999472,5.600063541998679,5.606756500663566,5.600063541998679,5.6646095420001075,10.601405958663479,15.58750820899877,15.596445833664136,15.58750820899877,15.591960249999829,15.591960249999829,20.59647312566473,25.58036708400323,25.58036708400323,25.592164708999917,25.597033750669894,25.592164708999917,30.59723783367032,35.583460916997865,35.583460916997865,35.583460916997865,35.59511712566406,35.583460916997865,40.595233416668876,45.572387334003,45.572387334003,45.570276999998896,,,,,,,,,,,,,,,,,,,,,,225779,001,2024-06-21_12h15.50.933,5-7,2024.1.4,None,2024-06-21 12h15.57.939990 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.57029437500023,45.59400091700081,50.64249362499686,50.581144666997716,,,,,,,,,,,,,,,,,,225779,001,2024-06-21_12h15.50.933,5-7,2024.1.4,None,2024-06-21 12h15.57.939990 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-5-Per.wav,Speaker4,0,0,0,64,50.64249362499686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.613829084002646,50.64249362499686,50.64249362499686,50.64249362499686,50.64249362499686,50.64759820866408,50.64249362499686,50.64249362499686,53.86134216700157,1,3.2165604999972857,None,53.91528083400044,Incorrect,53.93409475000226,55.91946004200145,,225779,001,2024-06-21_12h15.50.933,5-7,2024.1.4,None,2024-06-21 12h15.57.939990 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-1-Per.wav,Speaker2,0,1,1,20,55.94496658400021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.922085124999285,55.94496658400021,55.94496658400021,55.94496658400021,55.94496658400021,55.95275662533143,55.94496658400021,55.94496658400021,58.27335979200143,2,2.325260582998453,None,58.282622375001665,Incorrect,58.29284845900111,60.28232237500197,60.307895999998436,225779,001,2024-06-21_12h15.50.933,5-7,2024.1.4,None,2024-06-21 12h15.57.939990 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-20-Per.wav,Speaker4,0,2,2,79,60.307895999998436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.285027416997764,60.307895999998436,60.307895999998436,60.307895999998436,60.307895999998436,60.31543579233451,60.307895999998436,60.307895999998436,64.83042199999909,4,4.513654874994245,None,64.83439650000219,Incorrect,64.84473516700382,66.83107695900253,66.85763470899838,225779,001,2024-06-21_12h15.50.933,5-7,2024.1.4,None,2024-06-21 12h15.57.939990 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-13-Per.wav,Speaker4,0,3,3,72,66.85763470899838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.83495229200344,66.85763470899838,66.85763470899838,66.85763470899838,66.85763470899838,66.86361962533604,66.85763470899838,66.85763470899838,70.56070370900125,1,3.691779584005417,None,70.56471020900062,Incorrect,70.57467716700194,72.5708124169978,,225779,001,2024-06-21_12h15.50.933,5-7,2024.1.4,None,2024-06-21 12h15.57.939990 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-16-Per.wav,Speaker4,0,4,4,75,72.59700824999891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.57349220899778,72.59700824999891,72.59700824999891,72.59700824999891,72.59700824999891,72.60410204233679,72.59700824999891,72.59700824999891,73.97308220899868,3,1.3740182499968796,None,73.98073866699997,Incorrect,73.99057704200095,75.97853229199973,76.00424475000182,225779,001,2024-06-21_12h15.50.933,5-7,2024.1.4,None,2024-06-21 12h15.57.939990 +0900,
