SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,testPhase2Loop.thisRepN,testPhase2Loop.thisTrialN,testPhase2Loop.thisN,testPhase2Loop.thisIndex,testPhase3Loop.thisRepN,testPhase3Loop.thisTrialN,testPhase3Loop.thisN,testPhase3Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,Response3.keys,Response3.rt,Response3.duration,correct_responses_group3,total_trials_group3,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,CheckAccuracy3.started,accuracy_group3,proceed_to_test_group3,CheckAccuracy3.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,TestPhase2.started,TestPhase2.stopped,test2_response_keyboard.keys,test2_response,test2_image_file1,test2_image_file2,test2_image_file3,test2_image_file4,test2_sound_file,test_group3.started,test3_image1.started,test3_image2.started,test3_image3.started,test3_image4.started,test3_sound.started,text_10.started,test3_response_keyboard.started,test_group3.stopped,test3_response_keyboard.keys,test3_response_keyboard.rt,test3_response_keyboard.duration,test3_response,test3_image_file1,test3_image_file2,test3_image_file3,test3_image_file4,test3_sound_file,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-9-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,5,5,68,,,,,,,,,,,,,63.68371937500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6604810419999,63.68371937500001,63.68371937500001,63.68371937500001,63.68371937500001,63.693173417333384,63.68371937500001,63.68371937500001,63.873468209000066,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.18852875000015956,None,68,86,63.877418499999976,63.89063437499999,,65.88501887500001,65.8850434169999,0.7906976744186046,False,65.8857183749999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120126,001,2024-07-01_16h30.59.170,5-26,2024.1.4,None,2024-07-01 16h31.03.725903 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-1-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,6,6,40,,,,,,,,,,,,,65.91311762500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.88628833400003,65.91311762500004,65.91311762500004,65.91311762500004,65.91311762500004,65.91818362533334,65.91311762500004,65.91311762500004,66.07047154199995,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,0.14984420900009354,None,68,87,66.0752346669999,66.08972129199992,,68.07702441700008,68.07705229199996,0.7816091954022989,False,68.0778110419999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120126,001,2024-07-01_16h30.59.170,5-26,2024.1.4,None,2024-07-01 16h31.03.725903 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-18-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,7,7,17,,,,,,,,,,,,,68.09883429199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0781455419999,68.09883429199999,68.09883429199999,68.09883429199999,68.09883429199999,68.09352983366672,68.09883429199999,68.09883429199999,68.39790212499997,Correct! صحیح است,1,0.2939916660000108,None,68,88,68.40181716699999,68.41253812500008,,70.40258133399993,70.40261433399996,0.7727272727272727,False,70.40327150000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120126,001,2024-07-01_16h30.59.170,5-26,2024.1.4,None,2024-07-01 16h31.03.725903 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-9-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,8,8,28,,,,,,,,,,,,,70.427348875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.40403850000007,70.427348875,70.427348875,70.427348875,70.427348875,70.43571916733325,70.427348875,70.427348875,70.65165054199997,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,0.21966687499980253,None,68,89,70.65592074999995,70.66856224999992,72.68199991699998,72.6546115839999,72.6546531250001,0.7640449438202247,False,72.65497449999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120126,001,2024-07-01_16h30.59.170,5-26,2024.1.4,None,2024-07-01 16h31.03.725903 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-11-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,9,9,70,,,,,,,,,,,,,72.68199991699998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.65586341700009,72.68199991699998,72.68199991699998,72.68199991699998,72.68199991699998,72.68711320833339,72.68199991699998,72.68199991699998,72.99196395900003,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.3026416249999784,None,68,90,72.996248917,73.00849208399995,,75.00048295900001,75.00049133399989,0.7555555555555555,False,75.00066908400004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120126,001,2024-07-01_16h30.59.170,5-26,2024.1.4,None,2024-07-01 16h31.03.725903 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-5-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,10,10,4,,,,,,,,,,,,,75.02352458399992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00082825000004,75.02352458399992,75.02352458399992,75.02352458399992,75.02352458399992,75.0171157916666,75.02352458399992,75.02352458399992,75.31849829199996,Correct! صحیح است,1,0.28786954199995307,None,68,91,75.32277770900009,75.33430991699993,,77.32542454200006,77.32545249999998,0.7472527472527473,False,77.32608045899997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120126,001,2024-07-01_16h30.59.170,5-26,2024.1.4,None,2024-07-01 16h31.03.725903 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-14-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,11,11,53,,,,,,,,,,,,,77.350970125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.32684537499995,77.350970125,77.350970125,77.350970125,77.350970125,77.35861625033343,77.350970125,77.350970125,77.662356542,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,0.2979883330001485,None,68,92,77.667160792,77.681203375,,79.6688892090001,79.66891020899993,0.7391304347826086,False,79.66914520899991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120126,001,2024-07-01_16h30.59.170,5-26,2024.1.4,None,2024-07-01 16h31.03.725903 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-15-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,12,12,74,,,,,,,,,,,,,79.6925967919999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.66933666699993,79.6925967919999,79.6925967919999,79.6925967919999,79.6925967919999,79.7021465423334,79.6925967919999,79.6925967919999,79.877424625,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.17460345799986499,None,68,93,79.88126733400009,79.89410154200004,,81.8838384170001,81.88384999999994,0.7311827956989247,False,81.88404408399992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120126,001,2024-07-01_16h30.59.170,5-26,2024.1.4,None,2024-07-01 16h31.03.725903 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-2-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,13,13,1,,,,,,,,,,,,,81.90754654200009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8842487500001,81.90754654200009,81.90754654200009,81.90754654200009,81.90754654200009,81.91713758333324,81.90754654200009,81.90754654200009,82.12066249999998,Correct! صحیح است,1,0.20394820899991828,None,68,94,82.12537629200006,82.13737245900006,84.14370529200005,84.12155645899998,84.12156508399994,0.723404255319149,False,84.121727792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120126,001,2024-07-01_16h30.59.170,5-26,2024.1.4,None,2024-07-01 16h31.03.725903 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-20-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,14,14,59,,,,,,,,,,,,,84.14370529200005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1218994169999,84.14370529200005,84.14370529200005,84.14370529200005,84.14370529200005,84.13801908366669,84.14370529200005,84.14370529200005,84.31247950000011,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,0.15745125000012195,None,68,95,84.3165735,84.32917354200004,86.33922466700005,86.31601945900002,86.31602804199997,0.7157894736842105,False,86.31619458399996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120126,001,2024-07-01_16h30.59.170,5-26,2024.1.4,None,2024-07-01 16h31.03.725903 +0900,
