SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_8.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,Break.started,Break.stopped,FeedbackText.stopped,break_message.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.009566250002535526,0.010020458001235966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739407,001,2024-08-02_15h21.28.142,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 15h21.32.579466 +0900,
,,,,,,,,,,,,,,,,,,,0.0100378749993979,0.014559374998498242,0.014559374998498242,1.0672852499992587,1,1.0124585829980788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739407,001,2024-08-02_15h21.28.142,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 15h21.32.579466 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0673141660008696,1.0784057909986586,0.00018191700655734167,1.0784057909986586,1.838285416000872,[-0.1425661914460285],[0.26272912423625255],[1],[0],[0],[0.7703963750027469],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739407,001,2024-08-02_15h21.28.142,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 15h21.32.579466 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.838406875001965,1.880003582999052,6.833610749999934,6.837791999667631,6.833610749999934,6.871587374997034,14.825154582998948,14.825154582998948,14.830026666000776,14.841821249665616,14.830026666000776,22.820744791002653,22.820744791002653,22.836243124998873,22.83741145766932,22.836243124998873,30.82547591599723,30.82547591599723,30.83026679100294,30.842142582663897,30.83026679100294,38.82248254099977,38.82248254099977,38.81657816599909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739407,001,2024-08-02_15h21.28.142,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 15h21.32.579466 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.81660258299962,38.83426283299923,39.90358954099793,39.81763520799723,,,,,,,,,,,,,,,,,,,,,,,,,,739407,001,2024-08-02_15h21.28.142,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 15h21.32.579466 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.817651541001396,39.817806083003234,,,,,,,,,,,,,,,,,,,,,,,,739407,001,2024-08-02_15h21.28.142,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 15h21.32.579466 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-11-Per.wav,Speaker3,گوینده۳,0,0,0,74,0,0,0,50,39.90358954099793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.869607250002446,39.90358954099793,39.90358954099793,39.90358954099793,39.90358954099793,39.90072391633051,39.90358954099793,39.90358954099793,39.90358954099793,40.94098274999851,نادرست! پاسخ صحیح گوینده۳ است,0,1,1,1.0326932089956244,None,40.94522683299874,40.961935500003165,42.95241383300163,42.952422290996765,42.95244249999814,,,739407,001,2024-08-02_15h21.28.142,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 15h21.32.579466 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-20-Per.wav,Speaker4,گوینده۴,0,0,0,74,0,1,1,79,42.97812945800251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.952633416003664,42.97812945800251,42.97812945800251,42.97812945800251,42.97812945800251,42.98570666633216,42.97812945800251,42.97812945800251,42.97812945800251,45.14321600000403,نادرست! پاسخ صحیح گوینده۴ است,0,2,1,2.1529266249999637,None,45.147155625003506,45.15906758300116,47.14526616600051,47.145296249997045,47.145355540997116,47.17241666599875,,739407,001,2024-08-02_15h21.28.142,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 15h21.32.579466 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-17-Per.wav,Speaker1,گوینده ۱,0,0,0,74,0,2,2,16,47.17241666599875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1461916249973,47.17241666599875,47.17241666599875,47.17241666599875,47.17241666599875,47.17777699933552,47.17241666599875,47.17241666599875,47.17241666599875,47.48276608299784,صحیح است,1,3,1,0.30938420799793676,None,47.48664216599718,47.497381540997594,49.4832097910039,49.48321816600219,49.48323554100352,49.5101104580026,,739407,001,2024-08-02_15h21.28.142,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 15h21.32.579466 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-4-Per.wav,Speaker3,گوینده۳,0,0,0,74,0,3,3,43,49.5101104580026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.483409166001366,49.5101104580026,49.5101104580026,49.5101104580026,49.5101104580026,49.51630962433458,49.5101104580026,49.5101104580026,49.5101104580026,49.75684424999781,نادرست! پاسخ صحیح گوینده۳ است,1,4,1,0.2427384170005098,None,49.7605976249979,49.77180812499864,51.75486850000016,51.75488000000041,51.75489883300179,51.78201887499745,,739407,001,2024-08-02_15h21.28.142,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 15h21.32.579466 +0900,
