thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,key_resp.stopped,GroupInstructions.stopped,GroupSelection.stopped,key_resp.keys,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.008827458999803639,0.009193959000185714,,,,,,,,,,,,,,166059,001,2024-07-17_12h35.57.308,5-34 ready-monolingual persian speaker,2024.1.4,None,2024-07-17 12h36.01.557160 +0900,
,,,,0.009213958999680472,0.013653459000124712,0.013653459000124712,5.008456292000119,15.066487833999417,14.996273583999937,None,,,,,,,166059,001,2024-07-17_12h35.57.308,5-34 ready-monolingual persian speaker,2024.1.4,None,2024-07-17 12h36.01.557160 +0900,
,,,,,,,,,,,14.996289459000764,15.066487833999417,20.00708620899968,20.011855625665945,20.00708620899968,20.062424792000456,,,,,,,,
