thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,key_resp.stopped,GroupInstructions.stopped,GroupSelection.stopped,key_resp.keys,Introduction.started,text_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.008345833000930725,0.008678625001266482,,,,,,,,,,936447,001,2024-07-17_12h34.57.608,5-34 ready-monolingual persian speaker,2024.1.4,None,2024-07-17 12h35.02.585292 +0900,
,,,,0.008691458000612329,0.013136667001163005,0.013136667001163005,5.007348083001489,15.070111292001457,15.004806000000826,None,,,936447,001,2024-07-17_12h34.57.608,5-34 ready-monolingual persian speaker,2024.1.4,None,2024-07-17 12h35.02.585292 +0900,
,,,,,,,,,,,15.00490825000088,15.070111292001457,,,,,,,,
