SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,repeated_TrainingLoopGroup2.thisRepN,repeated_TrainingLoopGroup2.thisTrialN,repeated_TrainingLoopGroup2.thisN,repeated_TrainingLoopGroup2.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,testPhase2Loop.thisRepN,testPhase2Loop.thisTrialN,testPhase2Loop.thisN,testPhase2Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup2.started,image_11.started,SpeakerPicture2.started,image_5.started,image_6.started,Sound2.started,Instruction2.started,Response2.started,TrainingGroup2.stopped,feedbackText,correct_responses_group2,total_trials_group2,Response2.keys,Response2.rt,Response2.duration,FeedbackRoutine2.started,FeedbackText2.started,FeedbackRoutine2.stopped,FeedbackText2.stopped,CheckAccuracy2.started,accuracy_group3,proceed_to_test,CheckAccuracy2.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase2.started,test2_image1.started,test2_image2.started,test2_image3.started,test2_image4.started,test2_sound.started,text_8.started,test2_response_keyboard.started,TestPhase2.stopped,test2_response_keyboard.keys,test2_response_keyboard.rt,test2_response_keyboard.duration,test2_response,test2_image_file1,test2_image_file2,test2_image_file3,test2_image_file4,test2_sound_file,english_correct_answer,persian_correct_answer,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-17-Per.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,71,0,5,5,76,,,,,59.98443687499821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.96133874999941,59.98443687499821,59.98443687499821,59.98443687499821,59.98443687499821,59.99392404133735,59.98443687499821,59.98443687499821,60.07163608299743,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,0.08468162499775644,None,60.0758272919993,60.08863179200125,62.07635445800406,62.10008483300044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445052,001,2024-07-02_19h52.56.848,5-35,2024.1.4,None,2024-07-02 19h53.02.186390 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-18-Per.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,71,0,6,6,77,,,,,62.10008483300044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.076859291999426,62.10008483300044,62.10008483300044,62.10008483300044,62.10008483300044,62.108707750333025,62.10008483300044,62.10008483300044,62.1561124170039,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,0.055060542006685864,None,62.16023070800293,62.17331366700091,64.15683116699802,64.1778326249987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445052,001,2024-07-02_19h52.56.848,5-35,2024.1.4,None,2024-07-02 19h53.02.186390 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-13-Per.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,71,0,7,7,12,,,,,64.1778326249987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.15703495799971,64.1778326249987,64.1778326249987,64.1778326249987,64.1778326249987,64.17328887466671,64.1778326249987,64.1778326249987,64.32174749999831,Correct! صحیح است,1,1,1,0.14290816699940478,None,64.32550554200134,64.33649916700233,66.3260795419992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445052,001,2024-07-02_19h52.56.848,5-35,2024.1.4,None,2024-07-02 19h53.02.186390 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-9-Per.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,71,0,8,8,48,,,,,66.34988054200221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3267641670027,66.34988054200221,66.34988054200221,66.34988054200221,66.34988054200221,66.359257875331,66.34988054200221,66.34988054200221,66.35056637500384,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,2.0761407500031055,None,66.35082366700226,66.36080845799734,68.34616229200037,68.37211787499837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445052,001,2024-07-02_19h52.56.848,5-35,2024.1.4,None,2024-07-02 19h53.02.186390 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-18-Per.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,71,0,9,9,57,,,,,68.37211787499837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.34708600000158,68.37211787499837,68.37211787499837,68.37211787499837,68.37211787499837,68.37858179133084,68.37211787499837,68.37211787499837,68.37268904200027,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,1.945879666993278,None,68.37304874999973,68.3826125830019,70.37339758300368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445052,001,2024-07-02_19h52.56.848,5-35,2024.1.4,None,2024-07-02 19h53.02.186390 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-4-Per.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,71,0,10,10,43,,,,,70.39795925000362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.37400024999806,70.39795925000362,70.39795925000362,70.39795925000362,70.39795925000362,70.40655854133414,70.39795925000362,70.39795925000362,70.64589158300078,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.24570987500192132,None,70.6496605420034,70.66256783300196,72.64604237500316,72.66637516699848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445052,001,2024-07-02_19h52.56.848,5-35,2024.1.4,None,2024-07-02 19h53.02.186390 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-1-Per.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,71,0,11,11,20,,,,,72.66637516699848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.64620512499823,72.66637516699848,72.66637516699848,72.66637516699848,72.66637516699848,72.66249633366921,72.66637516699848,72.66637516699848,72.66702100000111,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,2.1707933330035303,None,72.67118112499884,72.6809625829992,74.67223141700379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445052,001,2024-07-02_19h52.56.848,5-35,2024.1.4,None,2024-07-02 19h53.02.186390 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-19-Per.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,71,0,12,12,38,,,,,74.6960962919984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.67285516700213,74.6960962919984,74.6960962919984,74.6960962919984,74.6960962919984,74.70534966633616,74.6960962919984,74.6960962919984,74.69684004200099,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,1.9016133330005687,None,74.6971269170026,74.7069409579999,76.69827545800217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445052,001,2024-07-02_19h52.56.848,5-35,2024.1.4,None,2024-07-02 19h53.02.186390 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-20-Per.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,71,0,13,13,39,,,,,76.72200737499952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.69888433300366,76.72200737499952,76.72200737499952,76.72200737499952,76.72200737499952,76.73146662533739,76.72200737499952,76.72200737499952,76.772449666998,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,0.04342962500231806,None,76.77652099999978,76.78614050000033,78.77889362499991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445052,001,2024-07-02_19h52.56.848,5-35,2024.1.4,None,2024-07-02 19h53.02.186390 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-2-Per.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,71,0,14,14,61,,,,,78.80123129200365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.77905900000042,78.80123129200365,78.80123129200365,78.80123129200365,78.80123129200365,78.79552941666431,78.80123129200365,78.80123129200365,78.80181916699803,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,1.9928582920038025,None,78.80590374999883,78.81533433299774,80.80549941700156,80.82962404200225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445052,001,2024-07-02_19h52.56.848,5-35,2024.1.4,None,2024-07-02 19h53.02.186390 +0900,
