SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,TrainingGroup1.stopped,feedbackText,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,correct_responses,total_trials,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,FeedbackText.stopped,TransitionRoutine.started,TransitionRoutine.stopped,nextRoutine,TestPhase1.started,WelcomeTest1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,WelcomeTest1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-17-Per.wav,Speaker1,گوینده ۱,,,,,,,,0,5,5,16,,,,,,,,,,,,,64.30077195900958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.27868704200955,64.30077195900958,64.30077195900958,64.30077195900958,64.30077195900958,64.29515112567266,64.30077195900958,64.30077195900958,64.30140629201196,Correct! صحیح است,1,2.1754891249875072,None,3,0,64.30510216701077,64.3134748339944,66.30573849999928,,,,,,,,,,,,,,,,,,,,,,,,,,,841875,001,2024-06-28_11h59.32.828,5-20,2024.1.4,None,2024-06-28 11h59.38.170350 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-16-Per.wav,Speaker3,گوینده۳,,,,,,,,0,6,6,55,,,,,,,,,,,,,66.32859820901649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.30592770900694,66.32859820901649,66.32859820901649,66.32859820901649,66.32859820901649,66.33904041734834,66.32859820901649,66.32859820901649,66.51349666700116,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,0.175331082980847,None,3,0,66.51738212502096,66.5301541670051,68.51450062499498,68.54041975000291,,,,,,,,,,,,,,,,,,,,,,,,,,841875,001,2024-06-28_11h59.32.828,5-20,2024.1.4,None,2024-06-28 11h59.38.170350 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-13-Per.wav,Speaker3,گوینده۳,,,,,,,,0,7,7,52,,,,,,,,,,,,,68.54041975000291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.51469712500693,68.54041975000291,68.54041975000291,68.54041975000291,68.54041975000291,68.53085387568377,68.54041975000291,68.54041975000291,68.54105175001314,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,2.19706095798756,None,3,0,68.54139245901024,68.55223966701305,70.53635370900156,70.55969508399721,,,,,,,,,,,,,,,,,,,,,,,,,,841875,001,2024-06-28_11h59.32.828,5-20,2024.1.4,None,2024-06-28 11h59.38.170350 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-5-Per.wav,Speaker2,گوینده۲,,,,,,,,0,8,8,24,,,,,,,,,,,,,70.55969508399721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.53655779201654,70.55969508399721,70.55969508399721,70.55969508399721,70.55969508399721,70.56946545834265,70.55969508399721,70.55969508399721,70.7539538340061,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,0.18876241697580554,None,3,0,70.75766437500715,70.77017945901025,72.75942183399457,,,,,,,,,,,,,,,,,,,,,,,,,,,841875,001,2024-06-28_11h59.32.828,5-20,2024.1.4,None,2024-06-28 11h59.38.170350 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-16-Per.wav,Speaker2,گوینده۲,,,,,,,,0,9,9,35,,,,,,,,,,,,,72.78176199999871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.75958141701994,72.78176199999871,72.78176199999871,72.78176199999871,72.78176199999871,72.77604133368392,72.78176199999871,72.78176199999871,72.78235679201316,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,2.174148874997627,None,3,0,72.7860769169929,72.79609741701279,74.77882637499715,74.80382129200734,,,,,,,,,,,,,,,,,,,,,,,,,,841875,001,2024-06-28_11h59.32.828,5-20,2024.1.4,None,2024-06-28 11h59.38.170350 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-8-Per.wav,Speaker2,گوینده۲,,,,,,,,0,10,10,27,,,,,,,,,,,,,74.80382129200734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.77898458400159,74.80382129200734,74.80382129200734,74.80382129200734,74.80382129200734,74.8119365003445,74.80382129200734,74.80382129200734,74.8868077500083,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,1,0.07495862498763017,None,3,0,74.89082312499522,74.90322116701282,76.88980812500813,76.91736104199663,,,,,,,,,,,,,,,,,,,,,,,,,,841875,001,2024-06-28_11h59.32.828,5-20,2024.1.4,None,2024-06-28 11h59.38.170350 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-5-Per.wav,Speaker3,گوینده۳,,,,,,,,0,11,11,44,,,,,,,,,,,,,76.91736104199663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.89063883401104,76.91736104199663,76.91736104199663,76.91736104199663,76.91736104199663,76.92223329234596,76.91736104199663,76.91736104199663,76.91792950002127,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,2.0012119169987272,None,3,0,76.91829883400351,76.92779491702095,78.91886258401792,,,,,,,,,,,,,,,,,,,,,,,,,,,841875,001,2024-06-28_11h59.32.828,5-20,2024.1.4,None,2024-06-28 11h59.38.170350 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-19-Per.wav,Speaker4,گوینده۴,,,,,,,,0,12,12,78,,,,,,,,,,,,,78.94443200001842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.91943162502139,78.94443200001842,78.94443200001842,78.94443200001842,78.94443200001842,78.95204045833864,78.94443200001842,78.94443200001842,79.25757654200424,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.31052333299885504,None,3,0,79.2615001249942,79.27504979202058,81.25813904200913,81.28124654199928,,,,,,,,,,,,,,,,,,,,,,,,,,841875,001,2024-06-28_11h59.32.828,5-20,2024.1.4,None,2024-06-28 11h59.38.170350 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-4-Per.wav,Speaker3,گوینده۳,,,,,,,,0,13,13,43,,,,,,,,,,,,,81.28124654199928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.25830712501192,81.28124654199928,81.28124654199928,81.28124654199928,81.28124654199928,81.29115425033572,81.28124654199928,81.28124654199928,81.28189608399407,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,2.188623791007558,None,3,0,81.28234999999404,81.29302233399358,83.27809462501318,83.30256887502037,,,,,,,,,,,,,,,,,,,,,,,,,,841875,001,2024-06-28_11h59.32.828,5-20,2024.1.4,None,2024-06-28 11h59.38.170350 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-3-Per.wav,Speaker4,گوینده۴,,,,,,,,0,14,14,62,,,,,,,,,,,,,83.30256887502037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.27827958401758,83.30256887502037,83.30256887502037,83.30256887502037,83.30256887502037,83.31121400034365,83.30256887502037,83.30256887502037,83.30329183401773,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,1.8791370840044692,None,3,0,83.30362458401942,83.31393420899985,85.29747679200955,85.32119345900719,,,,,,,,,,,,,,,,,,,,,,,,,,841875,001,2024-06-28_11h59.32.828,5-20,2024.1.4,None,2024-06-28 11h59.38.170350 +0900,
