SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,FeedbackText.stopped,CheckAccuracy1.started,accuracy_group1,proceed_to_test,CheckAccuracy1.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-4-Per.wav,Speaker3,گوینده۳,0,0,0,42,0,5,5,43,,,,,,,,,,,,,63.3640549169977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.339625291999255,63.3640549169977,63.3640549169977,63.3640549169977,63.3640549169977,63.37222570833231,63.3640549169977,63.3640549169977,63.36463791699862,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,1.9025805419987591,None,63.36500916699879,63.37453762500081,65.35911787499936,65.3860969999987,,,,,,,,,,,,,,,,,,,,,,,675375,001,2024-07-02_09h37.15.617,5-30,2024.1.4,None,2024-07-02 09h37.20.324275 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-6-Per.wav,Speaker3,گوینده۳,0,0,0,42,0,6,6,45,,,,,,,,,,,,,65.3860969999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.35985900000014,65.3860969999987,65.3860969999987,65.3860969999987,65.3860969999987,65.39166183333194,65.3860969999987,65.3860969999987,65.38674849999734,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,1.7138320000012754,None,65.38723370799926,65.39743820799777,67.38760016699962,67.41364504199737,,,,,,,,,,,,,,,,,,,,,,,675375,001,2024-07-02_09h37.15.617,5-30,2024.1.4,None,2024-07-02 09h37.20.324275 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-20-Per.wav,Speaker4,گوینده۴,0,0,0,42,0,7,7,79,,,,,,,,,,,,,67.41364504199737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3884180419991,67.41364504199737,67.41364504199737,67.41364504199737,67.41364504199737,67.42008358333308,67.41364504199737,67.41364504199737,67.41430874999787,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,1.9203981249993376,None,67.41473333300019,67.42453379200015,69.41693562499859,,,,,,,,,,,,,,,,,,,,,,,,675375,001,2024-07-02_09h37.15.617,5-30,2024.1.4,None,2024-07-02 09h37.20.324275 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-15-Per.wav,Speaker3,گوینده۳,0,0,0,42,0,8,8,54,,,,,,,,,,,,,69.44458183299867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.4175178330006,69.44458183299867,69.44458183299867,69.44458183299867,69.44458183299867,69.45011229133209,69.44458183299867,69.44458183299867,69.44510879199879,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,1.9055267080002523,None,69.44534187499812,69.45554537499993,71.44059533299878,71.4638749170008,,,,,,,,,,,,,,,,,,,,,,,675375,001,2024-07-02_09h37.15.617,5-30,2024.1.4,None,2024-07-02 09h37.20.324275 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-13-Per.wav,Speaker4,گوینده۴,0,0,0,42,0,9,9,72,,,,,,,,,,,,,71.4638749170008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4407445830002,71.4638749170008,71.4638749170008,71.4638749170008,71.4638749170008,71.47372345833404,71.4638749170008,71.4638749170008,71.46443108300082,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,1.7374082089991134,None,71.46472712499963,71.47436637499777,73.46146624999892,73.4850564169974,,,,,,,,,,,,,,,,,,,,,,,675375,001,2024-07-02_09h37.15.617,5-30,2024.1.4,None,2024-07-02 09h37.20.324275 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-9-Per.wav,Speaker3,گوینده۳,0,0,0,42,0,10,10,48,,,,,,,,,,,,,73.4850564169974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.46163924999928,73.4850564169974,73.4850564169974,73.4850564169974,73.4850564169974,73.49318091633225,73.4850564169974,73.4850564169974,73.48557533299754,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,1.8537455420009792,None,73.4860027499999,73.49649516700083,75.48692279199895,,,,,,,,,,,,,,,,,,,,,,,,675375,001,2024-07-02_09h37.15.617,5-30,2024.1.4,None,2024-07-02 09h37.20.324275 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-11-Per.wav,Speaker2,گوینده۲,0,0,0,42,0,11,11,30,,,,,,,,,,,,,75.512348207998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.48744924999846,75.512348207998,75.512348207998,75.512348207998,75.512348207998,75.52010950033267,75.512348207998,75.512348207998,75.66891704199952,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,0.14962966600069194,None,75.67261199999848,75.68666158300039,77.67098116700072,77.69364750000022,,,,,,,,,,,,,,,,,,,,,,,675375,001,2024-07-02_09h37.15.617,5-30,2024.1.4,None,2024-07-02 09h37.20.324275 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-10-Per.wav,Speaker2,گوینده۲,0,0,0,42,0,12,12,29,,,,,,,,,,,,,77.69364750000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.67116291699858,77.69364750000022,77.69364750000022,77.69364750000022,77.69364750000022,77.68743037466653,77.69364750000022,77.69364750000022,77.69419349999953,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,1.906374499998492,None,77.69820883300054,77.70759541699954,79.7015752499974,,,,,,,,,,,,,,,,,,,,,,,,675375,001,2024-07-02_09h37.15.617,5-30,2024.1.4,None,2024-07-02 09h37.20.324275 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-10-Per.wav,Speaker4,گوینده۴,0,0,0,42,0,13,13,69,,,,,,,,,,,,,79.72713962499984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.70216187500046,79.72713962499984,79.72713962499984,79.72713962499984,79.72713962499984,79.73476366633307,79.72713962499984,79.72713962499984,79.72766279200005,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,1.8253229999972973,None,79.72788233299798,79.73756270800004,81.73089462499775,,,,,,,,,,,,,,,,,,,,,,,,675375,001,2024-07-02_09h37.15.617,5-30,2024.1.4,None,2024-07-02 09h37.20.324275 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-17-Per.wav,Speaker4,گوینده۴,0,0,0,42,0,14,14,76,,,,,,,,,,,,,81.7558007919979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.73149608300082,81.7558007919979,81.7558007919979,81.7558007919979,81.7558007919979,81.76408125033097,81.7558007919979,81.7558007919979,81.75641099999848,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,1.8478670830008923,None,81.75665708299857,81.76624833299866,83.75575654199929,83.77806899999996,,,,,,,,,,,,,,,,,,,,,,,675375,001,2024-07-02_09h37.15.617,5-30,2024.1.4,None,2024-07-02 09h37.20.324275 +0900,
