SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_8.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackText.stopped,FeedbackRoutine1.stopped,Break.started,Break.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,Proceed_Break,break_message.started,checkbox1.started,text_component.started,mouse1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.00832295800501015,0.008673042000737041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593773,001,2024-08-02_18h58.34.355,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 18h58.38.697297 +0900,
,,,,,,,,,,,,,,,,,,,0.008689541995408945,0.012880541995400563,0.012880541995400563,1.155715250002686,1,1.102265042005456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593773,001,2024-08-02_18h58.34.355,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 18h58.38.697297 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.155743249997613,1.167777708003996,0.00018274999456480145,1.167777708003996,2.018596833004267,[-0.017311608961303463],[-0.17311608961303462],[1],[0],[0],[0.8620380829961505],['checkbox'],True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593773,001,2024-08-02_18h58.34.355,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 18h58.38.697297 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.018725792004261,2.051282917003846,7.018955916995765,7.029523499663143,7.018955916995765,7.050178332996438,15.018177833000664,15.018177833000664,15.018177833000664,15.030152541661908,15.018177833000664,23.016618124995148,23.016618124995148,23.016618124995148,23.02960591666148,23.016618124995148,31.00880108300771,31.00880108300771,31.00880108300771,31.019402583672004,31.00880108300771,39.000744667006074,39.000744667006074,38.9958306250046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593773,001,2024-08-02_18h58.34.355,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 18h58.38.697297 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.99589404200378,39.018555375005235,40.08829524999601,40.00505466699542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593773,001,2024-08-02_18h58.34.355,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 18h58.38.697297 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00509220799722,40.00532066699816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593773,001,2024-08-02_18h58.34.355,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 18h58.38.697297 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-4-Per.wav,Speaker1,گوینده ۱,0,0,0,76,0,0,0,13,40.08829524999601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.058429500000784,40.08829524999601,40.08829524999601,40.08829524999601,40.08829524999601,40.087719541338934,40.08829524999601,40.08829524999601,40.08829524999601,41.27684695800417,صحیح است,1,1,1,1.1752262920053909,None,41.28108845799579,41.28976958300336,43.302778833007324,43.27534775000822,43.27535758299928,43.275476249997155,[],[],[],[],[],[],[],False,,,,,593773,001,2024-08-02_18h58.34.355,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 18h58.38.697297 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-5-Per.wav,Speaker1,گوینده ۱,0,0,0,76,0,1,1,4,43.302778833007324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.27632491699478,43.302778833007324,43.302778833007324,43.302778833007324,43.302778833007324,43.30842820833689,43.302778833007324,43.302778833007324,43.302778833007324,43.59825150000688,صحیح است,2,2,1,0.2873866250010906,None,43.602039499994135,43.610404874998494,45.61973408299673,45.594899125004304,45.59491174999857,45.59504204199766,[],[],[],[],[],[],[],False,,,,,593773,001,2024-08-02_18h58.34.355,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 18h58.38.697297 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-3-Per.wav,Speaker1,گوینده ۱,0,0,0,76,0,2,2,2,45.61973408299673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.595475042006,45.61973408299673,45.61973408299673,45.61973408299673,45.61973408299673,45.62798637533754,45.61973408299673,45.61973408299673,45.61973408299673,45.77656958300213,صحیح است,3,3,1,0.15486216699355282,None,45.78046599999652,45.790276875006384,47.78675720799947,47.776309374996345,47.776319124997826,57.79059841700655,[],[],[],[],[],[],[],False,47.78675720799947,47.78675720799947,47.78675720799947,0.006328500006929971,593773,001,2024-08-02_18h58.34.355,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 18h58.38.697297 +0900,
,,,,,,,,,,,,,,,57.81673925000359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.79103604200645,57.81673925000359,57.81673925000359,57.81673925000359,57.81673925000359,57.82089550032882,57.81673925000359,57.81673925000359,57.81673925000359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
