SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,TrainingGroup1.stopped,feedbackText,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,correct_responses,total_trials,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,FeedbackText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.012641500012250617,0.020298291987273842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751962,001,2024-06-26_10h17.32.507,5-19,2024.1.4,None,2024-06-26 10h17.56.631002 +0330,
,,,,,,,,,,,,,,,0.020321291987784207,0.025712957984069362,0.025712957984069362,3.4705688749963883,1,3.407413250009995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751962,001,2024-06-26_10h17.32.507,5-19,2024.1.4,None,2024-06-26 10h17.56.631002 +0330,
,,,,,,,,,,,,,,,,,,,,,,3.470600833010394,3.535137625003699,8.469753374985885,8.479472916664479,8.469753374985885,8.533199958008481,13.47123562466392,18.46209104199079,18.46209104199079,18.46209104199079,18.47362870866006,18.46209104199079,23.482522124661287,28.45656262501143,28.45656262501143,28.465798082994297,28.473229291678095,28.465798082994297,33.477054958672184,38.46649062499637,38.46649062499637,38.46649062499637,38.47384966665801,38.46649062499637,43.48262883365193,48.462972667010035,48.462972667010035,48.45842675000313,,,,,,,,,,,,,,,,,,,,,,,,,,751962,001,2024-06-26_10h17.32.507,5-19,2024.1.4,None,2024-06-26 10h17.56.631002 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.458443042007275,48.462972667010035,53.504633625008864,53.454878499993356,,,,,,,,,,,,,,,,,,,,,,751962,001,2024-06-26_10h17.32.507,5-19,2024.1.4,None,2024-06-26 10h17.56.631002 +0330,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.45489170801011,53.45504716699361,,,,,,,,,,,,,,,,,,,,751962,001,2024-06-26_10h17.32.507,5-19,2024.1.4,None,2024-06-26 10h17.56.631002 +0330,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-18-Per.wav,Speaker1,گوینده ۱,0,0,0,17,53.504633625008864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.475403166987235,53.504633625008864,53.504633625008864,53.504633625008864,53.504633625008864,53.504660582996436,53.504633625008864,53.504633625008864,57.23854858300183,Correct! صحیح است,1,3.73287999999593,None,1,0,57.23908383300295,57.25785679198452,59.24596808300703,,751962,001,2024-06-26_10h17.32.507,5-19,2024.1.4,None,2024-06-26 10h17.56.631002 +0330,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-12-Per.wav,Speaker1,گوینده ۱,0,1,1,11,59.26907608300098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.246134999993956,59.26907608300098,59.26907608300098,59.26907608300098,59.26907608300098,59.262596833669036,59.26907608300098,59.26907608300098,62.860355417011306,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده ۱ است,2,3.589737292000791,None,1,0,62.86055962499813,62.87676183300209,64.86494204201153,,751962,001,2024-06-26_10h17.32.507,5-19,2024.1.4,None,2024-06-26 10h17.56.631002 +0330,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-9-Per.wav,Speaker3,گوینده۳,0,2,2,48,64.89103404199705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.86563195800409,64.89103404199705,64.89103404199705,64.89103404199705,64.89103404199705,64.89804708332716,64.89103404199705,64.89103404199705,68.0064351669862,Correct! صحیح است,3,3.109622332995059,None,2,0,68.01090458300314,68.02371741700335,70.01787987499847,,751962,001,2024-06-26_10h17.32.507,5-19,2024.1.4,None,2024-06-26 10h17.56.631002 +0330,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-20-Per.wav,Speaker1,گوینده ۱,0,3,3,19,70.04726925000432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.01851904200157,70.04726925000432,70.04726925000432,70.04726925000432,70.04726925000432,70.0510511253456,70.04726925000432,70.04726925000432,73.04859537500306,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده ۱ است,4,2.9928246249910444,None,2,0,73.04879079200327,73.05863833299372,75.04608083300991,75.0743759580073,751962,001,2024-06-26_10h17.32.507,5-19,2024.1.4,None,2024-06-26 10h17.56.631002 +0330,
,,,,,,,,,,,75.0743759580073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0467737079889,75.0743759580073,75.0743759580073,75.0743759580073,75.0743759580073,75.07858933334549,75.0743759580073,75.0743759580073,,,,,,,,,,,,,,,,,,,
