SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup2.thisRepN,repeated_TrainingLoopGroup2.thisTrialN,repeated_TrainingLoopGroup2.thisN,repeated_TrainingLoopGroup2.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,text_2.stopped,image.started,sound_8.started,text_4.started,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,Countdown.started,number1.started,number1.stopped,number2.started,number2.stopped,number3.started,number3.stopped,start.started,start.stopped,silence.started,silence.stopped,Countdown.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup2.started,image_11.started,SpeakerPicture2.started,image_5.started,image_6.started,Sound2.started,Instruction2.started,Response2.started,SessionNumberTest.started,TrainingGroup2.stopped,feedbackText,correct_responses_group2,total_trials_group2,Response2.keys,Response2.rt,Response2.duration,FeedbackRoutine2.started,FeedbackText2.started,FeedbackText2.stopped,FeedbackRoutine2.stopped,Break.started,Break.stopped,mouse2.x,mouse2.y,mouse2.leftButton,mouse2.midButton,mouse2.rightButton,mouse2.time,mouse2.clicked_name,Proceed_Break,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-8-Per.wav,Speaker2,گوینده۲,0,0,0,7,0,3,3,27,68.45666337500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.42925245900187,68.45666337500006,68.45666337500006,68.45666337500006,68.45666337500006,68.4617646673328,68.45666337500006,68.45666337500006,68.45666337500006,70.83245525000166,صحیح است,1,1,2,2.3671019169996725,None,70.83674841700122,70.84804916700159,72.85987091700008,72.83417408400055,72.83418670899846,72.83429354200052,[],[],[],[],[],[],[],False,715107,001,2024-08-18_21h08.32.697,5-36 ready-Persian trained,2024.1.5,None,2024-08-18 21h08.39.193707 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-18-Per.wav,Speaker3,گوینده۳,0,0,0,7,0,4,4,57,72.85987091700008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.83471512500182,72.85987091700008,72.85987091700008,72.85987091700008,72.85987091700008,72.86734187533196,72.85987091700008,72.85987091700008,72.85987091700008,76.72683329199936,صحیح است,1,1,3,3.8654755419993307,None,76.72707866700148,76.73763099999996,78.75065395899946,78.72191858400038,78.72192762499981,78.72203112499847,[],[],[],[],[],[],[],False,715107,001,2024-08-18_21h08.32.697,5-36 ready-Persian trained,2024.1.5,None,2024-08-18 21h08.39.193707 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-11-Per.wav,Speaker3,گوینده۳,0,0,0,7,0,5,5,50,78.75065395899946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.72245395899881,78.75065395899946,78.75065395899946,78.75065395899946,78.75065395899946,78.75506933333284,78.75065395899946,78.75065395899946,78.75065395899946,99.53481670900146,صحیح است,1,1,3,20.78263262499968,None,99.53504641700056,99.55078133400093,,101.54601924999952,101.546029000001,101.54613595900082,[],[],[],[],[],[],[],False,715107,001,2024-08-18_21h08.32.697,5-36 ready-Persian trained,2024.1.5,None,2024-08-18 21h08.39.193707 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-8-Per.wav,Speaker1,گوینده ۱,0,0,0,7,0,6,6,7,101.57193933400049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5465291670007,101.57193933400049,101.57193933400049,101.57193933400049,101.57193933400049,101.57931620833236,101.57193933400049,101.57193933400049,101.57193933400049,105.67244025000036,صحیح است,1,1,1,4.098876166000991,None,105.67271687500033,105.68338158400002,,107.67425341700073,107.6742616670017,107.6743747090004,[],[],[],[],[],[],[],False,715107,001,2024-08-18_21h08.32.697,5-36 ready-Persian trained,2024.1.5,None,2024-08-18 21h08.39.193707 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-2-Per.wav,Speaker3,گوینده۳,0,0,0,7,0,7,7,41,107.70093808399906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.67479933399954,107.70093808399906,107.70093808399906,107.70093808399906,107.70093808399906,107.70754983333293,107.70093808399906,107.70093808399906,107.70093808399906,115.30026029199871,صحیح است,1,1,3,7.594886332997703,None,115.30048850000094,115.31154954199883,117.32294479199845,117.29460112499874,117.29461512499984,117.29473791700002,[],[],[],[],[],[],[],False,715107,001,2024-08-18_21h08.32.697,5-36 ready-Persian trained,2024.1.5,None,2024-08-18 21h08.39.193707 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-1-Per.wav,Speaker2,گوینده۲,0,0,0,7,0,8,8,20,117.32294479199845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.29605245900166,117.32294479199845,117.32294479199845,117.32294479199845,117.32294479199845,117.32773641733414,117.32294479199845,117.32294479199845,117.32294479199845,124.89328695899894,صحیح است,1,1,2,7.5691792920006264,None,124.89352024999971,124.90410808399974,126.91778041699945,126.89214791699851,126.89215666699965,126.89226029199926,[],[],[],[],[],[],[],False,715107,001,2024-08-18_21h08.32.697,5-36 ready-Persian trained,2024.1.5,None,2024-08-18 21h08.39.193707 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-20-Per.wav,Speaker1,گوینده ۱,0,0,0,7,0,9,9,19,126.91778041699945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.89268900000025,126.91778041699945,126.91778041699945,126.91778041699945,126.91778041699945,126.92519508333183,126.91778041699945,126.91778041699945,126.91778041699945,133.3295735419997,صحیح است,1,1,1,6.410053832998528,None,133.3298225840008,133.34100549999857,135.35310041699995,135.32663237499946,135.32664504200147,135.32676720900054,[],[],[],[],[],[],[],False,715107,001,2024-08-18_21h08.32.697,5-36 ready-Persian trained,2024.1.5,None,2024-08-18 21h08.39.193707 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-2-Per.wav,Speaker4,گوینده۴,0,0,0,7,0,10,10,61,135.35310041699995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.3271804169999,135.35310041699995,135.35310041699995,135.35310041699995,135.35310041699995,135.35969920833355,135.35310041699995,135.35310041699995,135.35310041699995,136.9849532920016,نادرست! پاسخ صحیح گوینده۴ است,0,1,1,1.6305749169987394,None,136.98892025000168,137.00053208399913,139.01190154199867,138.98542866700154,138.98543791699922,138.98553941700084,[],[],[],[],[],[],[],False,715107,001,2024-08-18_21h08.32.697,5-36 ready-Persian trained,2024.1.5,None,2024-08-18 21h08.39.193707 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-1-Per.wav,Speaker3,گوینده۳,0,0,0,7,0,11,11,40,139.01190154199867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.98599349999859,139.01190154199867,139.01190154199867,139.01190154199867,139.01190154199867,139.0185426253343,139.01190154199867,139.01190154199867,139.01190154199867,142.10291245899862,صحیح است,1,1,3,3.089703959001781,None,142.1067630840007,142.11780166699828,,144.10774775000027,144.1077732090016,144.10813537500144,[],[],[],[],[],[],[],False,715107,001,2024-08-18_21h08.32.697,5-36 ready-Persian trained,2024.1.5,None,2024-08-18 21h08.39.193707 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-11-Per.wav,Speaker4,گوینده۴,0,0,0,7,0,12,12,70,144.1357662090013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.10975545900146,144.1357662090013,144.1357662090013,144.1357662090013,144.1357662090013,144.1408992923321,144.1357662090013,144.1357662090013,144.1357662090013,150.87654575000124,نادرست! پاسخ صحیح گوینده۴ است,0,1,3,6.7395677079985035,None,150.8767915419994,150.88822058400183,152.8972694590011,152.87116191699897,152.8711710839998,152.87129016700055,[],[],[],[],[],[],[],False,715107,001,2024-08-18_21h08.32.697,5-36 ready-Persian trained,2024.1.5,None,2024-08-18 21h08.39.193707 +0900,
,,,,,,,,,,,,,,,152.8972694590011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.87171949999902,152.8972694590011,152.8972694590011,152.8972694590011,152.8972694590011,152.9042561673346,152.8972694590011,152.8972694590011,152.8972694590011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
