repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_8.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,Break.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.008535166001820471,0.008869541001331527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534429,001,2024-08-02_13h06.18.632,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 13h06.23.513370 +0900,
,,,,,,,,,,,,,,,,,,,0.008886540999810677,0.01397887500206707,0.01397887500206707,1.4660670410012244,1,1.4134129580052104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534429,001,2024-08-02_13h06.18.632,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 13h06.23.513370 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.4661010000054375,1.4779237500042655,0.0001932500017574057,1.4779237500042655,1.9178465830045752,[-0.10183299389002037],[0.2637474541751528],[1],[0],[0],[0.4510025829949882],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534429,001,2024-08-02_13h06.18.632,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 13h06.23.513370 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9180395000003045,1.963096833002055,6.91455520800082,6.920583582669011,6.91455520800082,6.955392500000016,14.905820874999336,14.905820874999336,14.905820874999336,14.917988832672807,14.905820874999336,22.893947958000354,22.893947958000354,22.911580833002517,22.925162666670317,22.911580833002517,30.91153150000173,30.91153150000173,30.920773208003084,30.928198166668395,30.920773208003084,38.918998250002915,38.918998250002915,38.91162245799933,,,,,,,,,,,,,,,,,,,,,,,,,,,534429,001,2024-08-02_13h06.18.632,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 13h06.23.513370 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.91175983300491,38.918998250002915,39.99028874999931,39.90672375000577,,,,,,,,,,,,,,,,,,,,,,,534429,001,2024-08-02_13h06.18.632,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 13h06.23.513370 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.90674020800361,39.906919916000334,,,,,,,,,,,,,,,,,,,,,534429,001,2024-08-02_13h06.18.632,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 13h06.23.513370 +0900,
,,,,,,,,,,,,,,,39.99028874999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.95908950000012,39.99028874999931,39.99028874999931,39.99028874999931,39.99028874999931,39.98983262433952,39.99028874999931,39.99028874999931,39.99028874999931,42.026750750002975,صحیح است,1,1,1,2.026017292002507,None,42.031324499999755,42.047830957999395,44.034666375002416,44.03468245800468,,,,,,,,
