SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,text_2.stopped,image.started,sound_8.started,text_4.started,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,Countdown.started,number1.started,number1.stopped,number2.started,number2.stopped,number3.started,number3.stopped,start.started,start.stopped,silence.started,silence.stopped,Countdown.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,Break.started,Break.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,Proceed_Break,FeedbackText.stopped,break_message.started,checkbox1.started,text_component.started,mouse1.started,CheckAccuracy1.started,accuracy_group1,proceed_to_test,CheckAccuracy1.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,Finish.started,text_11.started,text_11.stopped,Finish.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-16-Per.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,54,0,3,3,35,,,,,75.2599847499987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.23388424999939,75.2599847499987,75.2599847499987,75.2599847499987,75.2599847499987,75.26642995833075,75.2599847499987,75.2599847499987,75.2599847499987,77.04522212499796,صحیح است,4,4,2,1.7833648750020075,None,77.04940575,77.06037012500019,79.04523599999811,79.04525779200048,79.04538641699764,[],[],[],[],[],[],[],False,79.07111766699745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-11-Per.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,54,0,4,4,30,,,,,79.07111766699745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.04581320799844,79.07111766699745,79.07111766699745,79.07111766699745,79.07111766699745,79.07838054133074,79.07111766699745,79.07111766699745,79.07111766699745,82.1080252920001,صحیح است,5,5,2,3.035679207998328,None,82.11192783300066,82.12280712500069,84.10611745799906,84.10612729199784,84.1062369579995,[],[],[],[],[],[],[],False,84.13394512499872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-4-Per.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,54,0,5,5,3,,,,,84.13394512499872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.10665183299716,84.13394512499872,84.13394512499872,84.13394512499872,84.13394512499872,84.13923850033146,84.13394512499872,84.13394512499872,84.13394512499872,87.11777770799745,صحیح است,6,6,1,2.9760672919983335,None,87.1215894579982,87.13016583299759,89.12031420799758,89.1203397499994,89.12065758300014,[],[],[],[],[],[],[],False,89.14865129199825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-15-Per.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,54,0,6,6,74,,,,,89.14865129199825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.12166708299992,89.14865129199825,89.14865129199825,89.14865129199825,89.14865129199825,89.15277316633049,89.14865129199825,89.14865129199825,89.14865129199825,91.44237304199851,صحیح است,7,7,4,2.2824255839987018,None,91.44665408299988,91.45499962499889,93.44141283299905,93.44146612499753,93.44208587499816,[],[],[],[],[],[],[],False,93.47065995799858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-6-Per.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,54,0,7,7,25,,,,,93.47065995799858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.44360887499715,93.47065995799858,93.47065995799858,93.47065995799858,93.47065995799858,93.47381954133064,93.47065995799858,93.47065995799858,93.47065995799858,95.38911749999897,صحیح است,8,8,2,1.912677166001231,None,95.39288454199777,95.40363016699848,97.38879395799813,97.38880383300057,97.38890299999912,[],[],[],[],[],[],[],False,97.4138189999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-3-Per.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,54,0,8,8,2,,,,,97.4138189999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.38933633299894,97.4138189999976,97.4138189999976,97.4138189999976,97.4138189999976,97.42190645833082,97.4138189999976,97.4138189999976,97.4138189999976,98.55088270799752,صحیح است,9,9,1,1.1294847080025647,None,98.55511504199967,98.56521762500051,100.5580139579979,100.55805033299839,100.55847004200041,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-14-Per.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,54,0,9,9,53,,,,,100.58827366699916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55987779199859,100.58827366699916,100.58827366699916,100.58827366699916,100.58827366699916,100.59113037533146,100.58827366699916,100.58827366699916,100.58827366699916,102.55584233300033,نادرست! پاسخ صحیح گوینده۳ است,9,10,4,1.9595968749999884,None,102.55978420799875,102.57163045799825,104.55431729200063,104.55432737499723,104.55443266699876,[],[],[],[],[],[],[],False,104.57983083299769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-13-Per.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,54,0,10,10,52,,,,,104.57983083299769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.55487374999939,104.57983083299769,104.57983083299769,104.57983083299769,104.57983083299769,104.58739666633167,104.57983083299769,104.57983083299769,104.57983083299769,106.12433416699787,نادرست! پاسخ صحیح گوینده۳ است,9,11,4,1.5367410839971853,None,106.12858787499863,106.14013037499899,108.12663620799867,108.12667233299726,108.1271416669988,[],[],[],[],[],[],[],False,108.1540325829992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-9-Per.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,54,0,11,11,28,,,,,108.1540325829992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.12872666700059,108.1540325829992,108.1540325829992,108.1540325829992,108.1540325829992,108.15915404133241,108.1540325829992,108.1540325829992,108.1540325829992,109.6319099579996,صحیح است,10,12,2,1.4747512089998054,None,109.63582479199977,109.64679774999968,111.64308670799801,111.64311862499744,111.6434518749993,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-13-Per.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,54,0,12,12,32,,,,,111.67272762499852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.64480837500014,111.67272762499852,111.67272762499852,111.67272762499852,111.67272762499852,111.67626770833206,111.67272762499852,111.67272762499852,111.67272762499852,113.05363299999954,صحیح است,11,13,2,1.3794785840000259,None,113.05737450000015,113.06802191699899,115.06371041699822,115.06373374999748,115.06408016699788,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820119,001,2024-08-04_13h57.26.879,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 13h57.31.993011 +0900,
