SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,InitializeExperiment.started,InitializeExperiment.stopped,CheckAccuracy1.started,accuracy_group1,proceed_to_test_group1,CheckAccuracy1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-13-Per.wav,Speaker4,گوینده۴,14,16,1136,72,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.20397924999997,0.0,False,64.20416233300057,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-2-Per.wav,Speaker2,گوینده۲,14,17,1137,21,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.22043504200337,0.0,False,64.22059933300261,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-3-Per.wav,Speaker2,گوینده۲,14,18,1138,22,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.23630579200108,0.0,False,64.2365285420019,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-2-Per.wav,Speaker3,گوینده۳,14,19,1139,41,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.25216858300337,0.0,False,64.25234604200159,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-8-Per.wav,Speaker2,گوینده۲,14,20,1140,27,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.26792070800002,0.0,False,64.2681050420033,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-11-Per.wav,Speaker2,گوینده۲,14,21,1141,30,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.28451266699994,0.0,False,64.2846879580029,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-12-Per.wav,Speaker1,گوینده ۱,14,22,1142,11,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.30030350000015,0.0,False,64.30047495800318,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-13-Per.wav,Speaker3,گوینده۳,14,23,1143,52,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.31639529200038,0.0,False,64.31656954200298,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-4-Per.wav,Speaker4,گوینده۴,14,24,1144,63,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.33212341700346,0.0,False,64.33231066700318,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-13-Per.wav,Speaker2,گوینده۲,14,25,1145,32,,,,,67.1996667500025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.34887895800057,0.0,False,64.34905987500315,265277,001,2024-07-01_23h43.59.611,5-29,2024.1.4,None,2024-07-01 23h44.04.454226 +0900,
