SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,Response3.keys,Response3.rt,Response3.duration,correct_responses,total_trials,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,TransitionRoutine.started,TransitionRoutine.stopped,nextRoutine,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-2-En.wav,Speaker4,گوینده۴,,,,,,,,,0,5,5,61,,,,,,,,,,,,67.0676711670003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.04090187499969,67.0676711670003,67.0676711670003,67.0676711670003,67.0676711670003,67.07344920833341,67.0676711670003,67.0676711670003,68.15651024999988,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,3,1.0856085830000666,None,0,6,68.16041450000012,68.17386350000015,70.16070633399977,70.18677624999964,,,,,,,,,903066,001,2024-06-30_12h04.44.493,5-21,2024.1.4,None,2024-06-30 12h04.49.561103 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-16-En.wav,Speaker2,گوینده۲,,,,,,,,,0,6,6,35,,,,,,,,,,,,70.18677624999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.16115533399989,70.18677624999964,70.18677624999964,70.18677624999964,70.18677624999964,70.19350720833293,70.18677624999964,70.18677624999964,71.25366974999997,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,3,1.0609533329998158,None,0,7,71.25766312500036,71.27089841700035,73.261885334,,,,,,,,,,903066,001,2024-06-30_12h04.44.493,5-21,2024.1.4,None,2024-06-30 12h04.49.561103 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-20-En.wav,Speaker2,گوینده۲,,,,,,,,,0,7,7,39,,,,,,,,,,,,73.28723320900008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.26206604199979,73.28723320900008,73.28723320900008,73.28723320900008,73.28723320900008,73.29518504233377,73.28723320900008,73.28723320900008,74.65386633399976,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,3,1.3620460410002124,None,0,8,74.65808962499977,74.67299999999977,76.65741937500025,76.68119870900045,,,,,,,,,903066,001,2024-06-30_12h04.44.493,5-21,2024.1.4,None,2024-06-30 12h04.49.561103 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-13-En.wav,Speaker2,گوینده۲,,,,,,,,,0,8,8,32,,,,,,,,,,,,76.68119870900045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.65758050000022,76.68119870900045,76.68119870900045,76.68119870900045,76.68119870900045,76.69048379233348,76.68119870900045,76.68119870900045,77.68294533399967,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,3,1.000717832999726,None,0,9,77.68691254199985,77.7002090420001,79.68368454200026,79.70631883399983,,,,,,,,,903066,001,2024-06-30_12h04.44.493,5-21,2024.1.4,None,2024-06-30 12h04.49.561103 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-12-En.wav,Speaker2,گوینده۲,,,,,,,,,0,9,9,31,,,,,,,,,,,,79.70631883399983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.68385000000035,79.70631883399983,79.70631883399983,79.70631883399983,79.70631883399983,79.70002725066685,79.70631883399983,79.70631883399983,80.75820004199977,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,3,1.0420964169998115,None,0,10,80.76236324999991,80.7756133339999,82.75859733400011,82.78062858399971,,,,,,,,,903066,001,2024-06-30_12h04.44.493,5-21,2024.1.4,None,2024-06-30 12h04.49.561103 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-9-En.wav,Speaker3,گوینده۳,,,,,,,,,0,10,10,48,,,,,,,,,,,,82.78062858399971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.75879708400043,82.78062858399971,82.78062858399971,82.78062858399971,82.78062858399971,82.77498145866709,82.78062858399971,82.78062858399971,84.19801604199984,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,2,1.4090877919998093,None,0,11,84.20175595900037,84.21603700000014,86.20385691699994,,,,,,,,,,903066,001,2024-06-30_12h04.44.493,5-21,2024.1.4,None,2024-06-30 12h04.49.561103 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-14-En.wav,Speaker3,گوینده۳,,,,,,,,,0,11,11,53,,,,,,,,,,,,86.23196045900022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2044099169998,86.23196045900022,86.23196045900022,86.23196045900022,86.23196045900022,86.23704887533361,86.23196045900022,86.23196045900022,87.40391208399978,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,2,1.164630708999539,None,0,12,87.40896683400024,87.42390629199963,89.40850450000016,89.43135125000026,,,,,,,,,903066,001,2024-06-30_12h04.44.493,5-21,2024.1.4,None,2024-06-30 12h04.49.561103 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-18-En.wav,Speaker2,گوینده۲,,,,,,,,,0,12,12,37,,,,,,,,,,,,89.43135125000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.40867854200042,89.43135125000026,89.43135125000026,89.43135125000026,89.43135125000026,89.42496604166651,89.43135125000026,89.43135125000026,90.72177449999981,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,3,1.2880960829998003,None,0,13,90.72554391700032,90.73869270900013,92.72435654200035,92.74730050000016,,,,,,,,,903066,001,2024-06-30_12h04.44.493,5-21,2024.1.4,None,2024-06-30 12h04.49.561103 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-7-En.wav,Speaker3,گوینده۳,,,,,,,,,0,13,13,46,,,,,,,,,,,,92.74730050000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7245142920001,92.74730050000016,92.74730050000016,92.74730050000016,92.74730050000016,92.74082912566634,92.74730050000016,92.74730050000016,94.340551667,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,2,1.5907222920004642,None,0,14,94.3452574590001,94.35939520900047,96.35361637500046,,,,,,,,,,903066,001,2024-06-30_12h04.44.493,5-21,2024.1.4,None,2024-06-30 12h04.49.561103 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-9-En.wav,Speaker4,گوینده۴,,,,,,,,,0,14,14,68,,,,,,,,,,,,96.37703779200001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.35379233399999,96.37703779200001,96.37703779200001,96.37703779200001,96.37703779200001,96.38691612533378,96.37703779200001,96.37703779200001,97.36364270900049,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,2,0.9849562919998789,None,0,15,97.36745574999986,97.38080916699982,99.37029504200018,,,,,,,,,,903066,001,2024-06-30_12h04.44.493,5-21,2024.1.4,None,2024-06-30 12h04.49.561103 +0900,
