SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,InitializeExperiment.started,InitializeExperiment.stopped,CheckAccuracy1.started,CheckAccuracy1.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-19-Per.wav,Speaker3,گوینده۳,8,29,669,58,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.480224167000415,56.48043129200232,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-12-Per.wav,Speaker1,گوینده ۱,8,30,670,11,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.49677062500268,56.496933958002046,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-20-Per.wav,Speaker2,گوینده۲,8,31,671,39,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.51266287500039,56.51282416700269,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-15-Per.wav,Speaker1,گوینده ۱,8,32,672,14,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.528603667000425,56.528766041999916,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-16-Per.wav,Speaker4,گوینده۴,8,33,673,75,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.54440800000157,56.54459195800155,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-12-Per.wav,Speaker2,گوینده۲,8,34,674,31,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.56096575000265,56.56112425000174,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-2-Per.wav,Speaker3,گوینده۳,8,35,675,41,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.576780167000834,56.5769605830028,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-8-Per.wav,Speaker1,گوینده ۱,8,36,676,7,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.59267600000021,56.59286195800087,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-7-Per.wav,Speaker1,گوینده ۱,8,37,677,6,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.60852062500271,56.60869108300176,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-14-Per.wav,Speaker4,گوینده۴,8,38,678,73,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.625038958001824,56.62519533300292,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-18-Per.wav,Speaker3,گوینده۳,8,39,679,57,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.64086395800041,56.64100604200212,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-18-Per.wav,Speaker2,گوینده۲,8,40,680,37,,,,,107.60147916700225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.656700792002084,56.65685212500102,229079,001,2024-07-01_23h30.05.508,5-28,2024.1.4,None,2024-07-01 23h30.10.358661 +0900,
