SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,Response3.keys,Response3.rt,Response3.duration,correct_responses,total_trials,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,TransitionRoutine.started,TransitionRoutine.stopped,nextRoutine,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-17-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,5,5,76,,,,,62.75024137500441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.72771283300244,62.75024137500441,62.75024137500441,62.75024137500441,62.75024137500441,62.74388024965107,62.75024137500441,62.75024137500441,63.00241712498246,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.24869145898264833,None,0,6,63.006359082995914,63.02054720799788,65.00686908297939,65.0333547499904,,,,,,,,,,,,,,,,,,,,,,,,,,,,289911,001,2024-06-28_12h27.01.674,5-21,2024.1.4,None,2024-06-28 12h27.06.370967 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-3-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,6,6,62,,,,,65.0333547499904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.00757258298108,65.0333547499904,65.0333547499904,65.0333547499904,65.0333547499904,65.03941737532344,65.0333547499904,65.0333547499904,65.31778054198367,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.28346495801815763,None,0,7,65.32162116697873,65.33442400000058,67.33000954199815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289911,001,2024-06-28_12h27.01.674,5-21,2024.1.4,None,2024-06-28 12h27.06.370967 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-4-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,7,7,3,,,,,67.3546370829863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.330165708001,67.3546370829863,67.3546370829863,67.3546370829863,67.3546370829863,67.3633076663323,67.3546370829863,67.3546370829863,67.56809283298207,Correct! صحیح است,1,0.20685166600742377,None,0,8,67.57229449998704,67.5834900419868,69.56750774997636,69.59100858299644,,,,,,,,,,,,,,,,,,,,,,,,,,,,289911,001,2024-06-28_12h27.01.674,5-21,2024.1.4,None,2024-06-28 12h27.06.370967 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-7-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,8,8,46,,,,,69.59100858299644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5677255000046,69.59100858299644,69.59100858299644,69.59100858299644,69.59100858299644,69.60061975033798,69.59100858299644,69.59100858299644,69.7756407079869,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,0.18361837501288392,None,0,9,69.7794826249883,69.79195562499808,71.78710975000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289911,001,2024-06-28_12h27.01.674,5-21,2024.1.4,None,2024-06-28 12h27.06.370967 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-10-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,9,9,69,,,,,71.8101507499814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.7872648749908,71.8101507499814,71.8101507499814,71.8101507499814,71.8101507499814,71.80373316666034,71.8101507499814,71.8101507499814,71.81073174998164,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,2.112264666997362,None,0,10,71.81479112498346,71.82443087498541,73.81601995800156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289911,001,2024-06-28_12h27.01.674,5-21,2024.1.4,None,2024-06-28 12h27.06.370967 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-13-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,10,10,52,,,,,73.84020679199602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.81618241698015,73.84020679199602,73.84020679199602,73.84020679199602,73.84020679199602,73.84931495833055,73.84020679199602,73.84020679199602,74.12907291698502,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,0.2782047920045443,None,0,11,74.13328512498992,74.14643983298447,76.13862783298828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289911,001,2024-06-28_12h27.01.674,5-21,2024.1.4,None,2024-06-28 12h27.06.370967 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-3-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,11,11,42,,,,,76.16419754197705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.13926208298653,76.16419754197705,76.16419754197705,76.16419754197705,76.16419754197705,76.17179004132825,76.16419754197705,76.16419754197705,76.17984554197756,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,1,0.013633082999149337,None,0,12,76.1835842919827,76.19608116699965,78.18205974999,78.20558612499735,,,,,,,,,,,,,,,,,,,,,,,,,,,,289911,001,2024-06-28_12h27.01.674,5-21,2024.1.4,None,2024-06-28 12h27.06.370967 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-5-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,12,12,64,,,,,78.20558612499735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.18224987498252,78.20558612499735,78.20558612499735,78.20558612499735,78.20558612499735,78.21517608332991,78.20558612499735,78.20558612499735,78.58164854199276,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,0.36931466599344276,None,0,13,78.58547920797719,78.59837249998236,80.58668325000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289911,001,2024-06-28_12h27.01.674,5-21,2024.1.4,None,2024-06-28 12h27.06.370967 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-8-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,13,13,7,,,,,80.60972637499799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5868531249871,80.60972637499799,80.60972637499799,80.60972637499799,80.60972637499799,80.60331916666861,80.60972637499799,80.60972637499799,81.23418079200201,Correct! صحیح است,1,0.6218866250128485,None,0,14,81.23798991699005,81.24931262500468,83.23298629198689,83.25985791700077,,,,,,,,,,,,,,,,,,,,,,,,,,,,289911,001,2024-06-28_12h27.01.674,5-21,2024.1.4,None,2024-06-28 12h27.06.370967 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-7-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,14,14,6,,,,,83.25985791700077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.2339135420043,83.25985791700077,83.25985791700077,83.25985791700077,83.25985791700077,83.2653527083244,83.25985791700077,83.25985791700077,86.45757254198543,Correct! صحیح است,1,3.195397291012341,None,0,15,86.45784891699441,86.46944012498716,88.4541852499824,88.4776873329829,,,,,,,,,,,,,,,,,,,,,,,,,,,,289911,001,2024-06-28_12h27.01.674,5-21,2024.1.4,None,2024-06-28 12h27.06.370967 +0900,
