thisRow.t,notes,Initialize.started,Initialize.stopped,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,ker_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.010125082997546997,0.010481208002602216,,,,,,851561,001,2024-06-21_11h12.29.582,5-7,2024.1.4,None,2024-06-21 11h12.34.292438 +0900,
,,,,0.01050283299991861,0.010645583002769854,,,,851561,001,2024-06-21_11h12.29.582,5-7,2024.1.4,None,2024-06-21 11h12.34.292438 +0900,
,,,,,,0.01065254199784249,0.015614582996931858,0.015614582996931858,,,,,,,,
