SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_8.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,Break.started,Break.stopped,FeedbackText.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-17-Per.wav,Speaker3,گوینده۳,0,0,0,76,0,4,4,56,52.90536512499966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.88069191699469,52.90536512499966,52.90536512499966,52.90536512499966,52.90536512499966,52.91339495832702,52.90536512499966,52.90536512499966,52.90536512499966,53.090885958998115,نادرست! پاسخ صحیح گوینده۳ است,0,5,1,0.1762140420032665,None,53.09489024999493,53.10661629199603,55.1012435839948,55.10125516699918,55.101472666996415,,277656,001,2024-08-02_12h56.07.901,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h56.12.215010 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-18-Per.wav,Speaker4,گوینده۴,0,0,0,76,0,5,5,77,55.125819499997306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.10164612499648,55.125819499997306,55.125819499997306,55.125819499997306,55.125819499997306,55.1345413753302,55.125819499997306,55.125819499997306,55.125819499997306,55.204264333995525,نادرست! پاسخ صحیح گوینده۴ است,0,6,1,0.07386295900505502,None,55.20828279199486,55.21959070899902,57.2066084170001,57.20661820899841,57.20695437499671,57.23481491699931,277656,001,2024-08-02_12h56.07.901,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h56.12.215010 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-6-Per.wav,Speaker1,گوینده ۱,0,0,0,76,0,6,6,5,57.23481491699931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.20743529199535,57.23481491699931,57.23481491699931,57.23481491699931,57.23481491699931,57.239685917331855,57.23481491699931,57.23481491699931,57.23481491699931,57.29621162499825,صحیح است,1,7,1,0.056732709002972115,None,57.3005772089964,57.3110247500008,59.29992395899899,59.29993704200024,59.30008291699778,59.324265833995014,277656,001,2024-08-02_12h56.07.901,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h56.12.215010 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-3-Per.wav,Speaker4,گوینده۴,0,0,0,76,0,7,7,62,59.324265833995014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.30027254199376,59.324265833995014,59.324265833995014,59.324265833995014,59.324265833995014,59.333057833333925,59.324265833995014,59.324265833995014,59.324265833995014,59.4951057090002,نادرست! پاسخ صحیح گوینده۴ است,1,8,1,0.1695364580009482,None,59.498939083998266,59.5099377919978,61.49945945899526,61.49946829200053,61.4996455839937,,277656,001,2024-08-02_12h56.07.901,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h56.12.215010 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-15-Per.wav,Speaker4,گوینده۴,0,0,0,76,0,8,8,74,61.52518699999928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.49984179199964,61.52518699999928,61.52518699999928,61.52518699999928,61.52518699999928,61.53275775032719,61.52518699999928,61.52518699999928,61.52518699999928,61.68242904199724,نادرست! پاسخ صحیح گوینده۴ است,1,9,1,0.1507892500012531,None,61.686140166995756,61.69672399999399,63.68317616699642,63.68318445899786,63.6833471669961,63.70761758399749,277656,001,2024-08-02_12h56.07.901,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h56.12.215010 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-3-Per.wav,Speaker1,گوینده ۱,0,0,0,76,0,9,9,2,63.70761758399749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.68353366699739,63.70761758399749,63.70761758399749,63.70761758399749,63.70761758399749,63.716266875330376,63.70761758399749,63.70761758399749,63.70761758399749,64.09299354199902,صحیح است,2,10,1,0.3792661670013331,None,64.09678629200062,64.10699712499627,66.09020012499968,66.09020949999831,66.09035216699704,66.11517029199604,277656,001,2024-08-02_12h56.07.901,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h56.12.215010 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-5-Per.wav,Speaker3,گوینده۳,0,0,0,76,0,10,10,44,66.11517029199604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.09051275000093,66.11517029199604,66.11517029199604,66.11517029199604,66.11517029199604,66.1233159583285,66.11517029199604,66.11517029199604,66.11517029199604,66.18334787499771,نادرست! پاسخ صحیح گوینده۳ است,2,11,1,0.06304720900516259,None,66.18709141699946,66.19825416700041,68.1826982499988,68.18273199999385,68.18301545899885,68.20823620900046,277656,001,2024-08-02_12h56.07.901,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h56.12.215010 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-3-Per.wav,Speaker3,گوینده۳,0,0,0,76,0,11,11,42,68.20823620900046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.18358425000042,68.20823620900046,68.20823620900046,68.20823620900046,68.20823620900046,68.21520166732856,68.20823620900046,68.20823620900046,68.20823620900046,68.45124558399402,نادرست! پاسخ صحیح گوینده۳ است,2,12,1,0.23489037500257837,None,68.45493929199438,68.465935041997,70.4505340839969,70.45056241699785,70.45086162499501,70.48039754199999,277656,001,2024-08-02_12h56.07.901,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h56.12.215010 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-12-Per.wav,Speaker2,گوینده۲,0,0,0,76,0,12,12,31,70.48039754199999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.45166541700019,70.48039754199999,70.48039754199999,70.48039754199999,70.48039754199999,70.48305254233176,70.48039754199999,70.48039754199999,70.48039754199999,70.81444287499471,نادرست! پاسخ صحیح گوینده۲ است,2,13,1,0.32475529099610867,None,70.81872274999478,70.82990145899385,72.81322879199433,72.81323999999586,72.81340279199503,72.83764366700052,277656,001,2024-08-02_12h56.07.901,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h56.12.215010 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-20-Per.wav,Speaker4,گوینده۴,0,0,0,76,0,13,13,79,72.83764366700052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.81359945899749,72.83764366700052,72.83764366700052,72.83764366700052,72.83764366700052,72.84634650033016,72.83764366700052,72.83764366700052,72.83764366700052,73.07402654199541,نادرست! پاسخ صحیح گوینده۴ است,2,14,1,0.23342750000301749,None,73.07807145900006,73.08962637499644,75.07744720899791,75.07745691699529,75.07759704199998,75.10432020900043,277656,001,2024-08-02_12h56.07.901,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-02 12h56.12.215010 +0900,
