SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup2.started,image_11.started,SpeakerPicture2.started,image_5.started,image_6.started,Sound2.started,Instruction2.started,Response2.started,TrainingGroup2.stopped,feedbackText,Response2.keys,Response2.rt,Response2.duration,correct_responses,total_trials,FeedbackRoutine2.started,FeedbackText2.started,FeedbackText2.stopped,FeedbackRoutine2.stopped,TransitionRoutine.started,TransitionRoutine.stopped,nextRoutine,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-9-Per.wav,Speaker1,گوینده ۱,,,,,,,,,,,,0,5,5,8,,,,,,,,,75.48582791601075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.46128404099727,75.48582791601075,75.48582791601075,75.48582791601075,75.48582791601075,75.49230324934663,75.48582791601075,75.48582791601075,78.89665912502096,Correct! صحیح است,1,3.408224417013116,None,0,6,78.89705087500624,78.90907900000457,,80.89789783299784,,,,,,,,,,,,,,,,,,,,,,,,,,,,096785,001,2024-06-28_13h52.58.369,5-21,2024.1.4,None,2024-06-28 13h53.03.554316 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-13-Per.wav,Speaker2,گوینده۲,,,,,,,,,,,,0,6,6,32,,,,,,,,,80.92529500002274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.89858925002045,80.92529500002274,80.92529500002274,80.92529500002274,80.92529500002274,80.93105362435065,80.92529500002274,80.92529500002274,85.12703337499988,Correct! صحیح است,2,4.2005787910020445,None,0,7,85.1272332080116,85.1386418750044,,87.13019366600201,,,,,,,,,,,,,,,,,,,,,,,,,,,,096785,001,2024-06-28_13h52.58.369,5-21,2024.1.4,None,2024-06-28 13h53.03.554316 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-14-Per.wav,Speaker4,گوینده۴,,,,,,,,,,,,0,7,7,73,,,,,,,,,87.15875050000614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.13079416600522,87.15875050000614,87.15875050000614,87.15875050000614,87.15875050000614,87.16337724933013,87.15875050000614,87.15875050000614,91.37709958301275,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,1,4.211022708012024,None,0,8,91.37732191602117,91.3912692500162,93.39942420800799,93.3771052500233,,,,,,,,,,,,,,,,,,,,,,,,,,,,096785,001,2024-06-28_13h52.58.369,5-21,2024.1.4,None,2024-06-28 13h53.03.554316 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-11-Per.wav,Speaker2,گوینده۲,,,,,,,,,,,,0,8,8,30,,,,,,,,,93.39942420800799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.37727520801127,93.39942420800799,93.39942420800799,93.39942420800799,93.39942420800799,93.3935480416733,93.39942420800799,93.39942420800799,97.90815429101349,Correct! صحیح است,2,4.4952023749938235,None,0,9,97.90863400002127,97.9202778750041,,99.91324058300233,,,,,,,,,,,,,,,,,,,,,,,,,,,,096785,001,2024-06-28_13h52.58.369,5-21,2024.1.4,None,2024-06-28 13h53.03.554316 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-4-Per.wav,Speaker1,گوینده ۱,,,,,,,,,,,,0,9,9,13,,,,,,,,,99.94005962501979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.91374920800445,99.94005962501979,99.94005962501979,99.94005962501979,99.94005962501979,99.9464006243584,99.94005962501979,99.94005962501979,103.72373954101931,Correct! صحیح است,1,3.7799247919756453,None,0,10,103.72396183302044,103.73565279101604,,105.73058454101556,,,,,,,,,,,,,,,,,,,,,,,,,,,,096785,001,2024-06-28_13h52.58.369,5-21,2024.1.4,None,2024-06-28 13h53.03.554316 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-17-Per.wav,Speaker4,گوینده۴,,,,,,,,,,,,0,10,10,76,,,,,,,,,105.7586502500053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.7311708330235,105.7586502500053,105.7586502500053,105.7586502500053,105.7586502500053,105.76377241634376,105.7586502500053,105.7586502500053,109.0923122500244,Correct! صحیح است,4,3.324552167003276,None,0,11,109.09255837500677,109.10115295799915,111.11095166602172,111.08771912500379,,,,,,,,,,,,,,,,,,,,,,,,,,,,096785,001,2024-06-28_13h52.58.369,5-21,2024.1.4,None,2024-06-28 13h53.03.554316 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-10-Per.wav,Speaker3,گوینده۳,,,,,,,,,,,,0,11,11,49,,,,,,,,,111.11095166602172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.08790104099899,111.11095166602172,111.11095166602172,111.11095166602172,111.11095166602172,111.12082699934447,111.11095166602172,111.11095166602172,116.18082754101488,Correct! صحیح است,3,5.066216500010341,None,0,12,116.18106075000833,116.19224100001156,,118.18638895801269,,,,,,,,,,,,,,,,,,,,,,,,,,,,096785,001,2024-06-28_13h52.58.369,5-21,2024.1.4,None,2024-06-28 13h53.03.554316 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-10-Per.wav,Speaker2,گوینده۲,,,,,,,,,,,,0,12,12,29,,,,,,,,,118.21117266602232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.18656062500668,118.21117266602232,118.21117266602232,118.21117266602232,118.21117266602232,118.21968637433795,118.21117266602232,118.21117266602232,121.76122433302226,Correct! صحیح است,2,3.5408384579932317,None,0,13,121.76142125000479,121.77035420801258,123.77857858300558,123.75670391600579,,,,,,,,,,,,,,,,,,,,,,,,,,,,096785,001,2024-06-28_13h52.58.369,5-21,2024.1.4,None,2024-06-28 13h53.03.554316 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-3-Per.wav,Speaker1,گوینده ۱,,,,,,,,,,,,0,13,13,2,,,,,,,,,123.77857858300558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.75686695802142,123.77857858300558,123.77857858300558,123.77857858300558,123.77857858300558,123.7731737916804,123.77857858300558,123.77857858300558,127.83299541601446,Correct! صحیح است,1,4.04601958298008,None,0,14,127.8332779580087,127.84220741601894,,129.83788950002054,,,,,,,,,,,,,,,,,,,,,,,,,,,,096785,001,2024-06-28_13h52.58.369,5-21,2024.1.4,None,2024-06-28 13h53.03.554316 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-19-Per.wav,Speaker3,گوینده۳,,,,,,,,,,,,0,14,14,58,,,,,,,,,129.86292983300518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.83855658301036,129.86292983300518,129.86292983300518,129.86292983300518,129.86292983300518,129.8710197083497,129.86292983300518,129.86292983300518,134.32716366602108,Correct! صحیح است,3,4.45494491700083,None,0,15,134.32740075001493,134.338884124998,136.3489663329965,136.3236076660105,,,,,,,,,,,,,,,,,,,,,,,,,,,,096785,001,2024-06-28_13h52.58.369,5-21,2024.1.4,None,2024-06-28 13h53.03.554316 +0900,
