SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,SessionNumberText.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,Break.started,Break.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name,Proceed_Break,break_message.started,checkbox3.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-18-En.wav,Speaker4,گوینده۴,0,0,0,62,0,4,4,77,83.29224154199983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.27211779199934,83.29224154199983,83.29224154199983,83.29224154199983,83.29224154199983,83.28792525066662,83.29224154199983,83.29224154199983,83.29224154199983,83.51173137499973,Incorrect! The correct answer is Speaker4.,0,1,1,0.21261962499920628,None,83.5156156669982,83.5263662089983,85.53670362499906,85.51268762499967,85.5126997919997,85.51281379199827,[],[],[],[],[],[],[],False,,,872394,001,2024-08-04_10h51.00.753,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 10h51.05.300633 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-15-En.wav,Speaker4,گوینده۴,0,0,0,62,0,5,5,74,85.53670362499906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.51321091699901,85.53670362499906,85.53670362499906,85.53670362499906,85.53670362499906,85.54580658333228,85.53670362499906,85.53670362499906,85.53670362499906,85.6423212919999,Incorrect! The correct answer is Speaker4.,0,1,1,0.10348766600145609,None,85.64664304199869,85.65274958399823,87.6579219999985,87.63671349999822,87.63672304199827,87.63682579199849,[],[],[],[],[],[],[],False,,,872394,001,2024-08-04_10h51.00.753,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 10h51.05.300633 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-4-En.wav,Speaker3,گوینده۳,0,0,0,62,0,6,6,43,87.6579219999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.63723695899898,87.6579219999985,87.6579219999985,87.6579219999985,87.6579219999985,87.65314262566632,87.6579219999985,87.6579219999985,87.6579219999985,87.70722729199952,Incorrect! The correct answer is Speaker3.,0,1,1,0.04805599999963306,None,87.71093162499892,87.7215492919986,,89.71380158399916,89.71383691699884,89.71419233399865,[],[],[],[],[],[],[],False,,,872394,001,2024-08-04_10h51.00.753,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 10h51.05.300633 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-4-En.wav,Speaker1,گوینده ۱,0,0,0,62,0,7,7,3,89.73606120899967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.71568616699915,89.73606120899967,89.73606120899967,89.73606120899967,89.73606120899967,89.7302750416659,89.73606120899967,89.73606120899967,89.73606120899967,89.88781124999878,Correct!,1,1,1,0.14440004100106307,None,89.89189233399884,89.90256174999922,91.90975258399885,91.89045812499899,91.89046670899916,91.89056029199855,[],[],[],[],[],[],[],False,,,872394,001,2024-08-04_10h51.00.753,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 10h51.05.300633 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-19-En.wav,Speaker3,گوینده۳,0,0,0,62,0,8,8,58,91.90975258399885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.89093358399987,91.90975258399885,91.90975258399885,91.90975258399885,91.90975258399885,91.9069188336655,91.90975258399885,91.90975258399885,91.90975258399885,91.99281583399897,Incorrect! The correct answer is Speaker3.,0,1,1,0.08077962500101421,None,91.99655879199963,92.00723595899944,94.0100577919984,93.99030579199825,93.99031874999855,93.9904349999997,[],[],[],[],[],[],[],False,,,872394,001,2024-08-04_10h51.00.753,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 10h51.05.300633 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-7-En.wav,Speaker4,گوینده۴,0,0,0,62,0,9,9,66,94.0100577919984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.99086599999828,94.0100577919984,94.0100577919984,94.0100577919984,94.0100577919984,94.00667091666607,94.0100577919984,94.0100577919984,94.0100577919984,94.33329849999973,Incorrect! The correct answer is Speaker4.,0,1,1,0.3156417499994859,None,94.33727383399855,94.34618624999894,96.35296879199996,96.33038004199989,96.330388417,96.3305083339983,[],[],[],[],[],[],[],False,,,872394,001,2024-08-04_10h51.00.753,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 10h51.05.300633 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-13-En.wav,Speaker4,گوینده۴,0,0,0,62,0,10,10,72,96.35296879199996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.33172820899927,96.35296879199996,96.35296879199996,96.35296879199996,96.35296879199996,96.3468453336666,96.35296879199996,96.35296879199996,96.35296879199996,96.37612529199941,Incorrect! The correct answer is Speaker4.,0,1,1,0.01873929199973645,None,96.38005024999984,96.38608162499986,98.392119791999,98.36909987499894,98.36910799999896,98.36922687499828,[],[],[],[],[],[],[],False,,,872394,001,2024-08-04_10h51.00.753,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 10h51.05.300633 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-6-En.wav,Speaker3,گوینده۳,0,0,0,62,0,11,11,45,98.392119791999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.37001554199924,98.392119791999,98.392119791999,98.392119791999,98.392119791999,98.38554154166583,98.392119791999,98.392119791999,98.392119791999,98.66280554199875,Incorrect! The correct answer is Speaker3.,0,1,1,0.26532637499985867,None,98.66662216699842,98.67769641699851,100.67997370899866,100.66136374999951,100.661371917,100.6614810839983,[],[],[],[],[],[],[],False,,,872394,001,2024-08-04_10h51.00.753,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 10h51.05.300633 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-12-En.wav,Speaker4,گوینده۴,0,0,0,62,0,12,12,71,100.67997370899866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6619039169982,100.67997370899866,100.67997370899866,100.67997370899866,100.67997370899866,100.67782808366634,100.67997370899866,100.67997370899866,100.67997370899866,100.89961799999946,Incorrect! The correct answer is Speaker4.,0,1,1,0.21711195799980487,None,100.90380829199967,100.91462483399846,102.92279070899895,102.90289974999905,102.90293341699908,102.90339649999987,[],[],[],[],[],[],[],False,,,872394,001,2024-08-04_10h51.00.753,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 10h51.05.300633 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-17-En.wav,Speaker3,گوینده۳,0,0,0,62,0,13,13,56,102.92279070899895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.90497345899894,102.92279070899895,102.92279070899895,102.92279070899895,102.92279070899895,102.91873375066486,102.92279070899895,102.92279070899895,102.92279070899895,102.96120420899933,Incorrect! The correct answer is Speaker3.,0,1,1,0.0299605000000156,None,102.9650870839996,102.97574816699853,104.97966320899832,104.95979537499989,104.95980520899866,104.95992595899952,[],[],[],[],[],[],[],False,,,872394,001,2024-08-04_10h51.00.753,5-32 ready-Group3 English Trained,2024.1.5,None,2024-08-04 10h51.05.300633 +0900,
