SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image_7.started,sound_9.started,text_5.started,image.stopped,text_4.stopped,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,CheckAccuracy3.started,accuracy_group3,proceed_to_test,CheckAccuracy3.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-18-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,0,0,73,0,5,5,37,,,,,64.64102387499952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6193480840011,64.64102387499952,64.64102387499952,64.64102387499952,64.64102387499952,64.63490470866624,64.64102387499952,64.64102387499952,66.54419525000048,Correct! صحیح است,1,1,2,1.8946624169984716,None,66.549334542,66.56157783399976,68.57321554200098,68.54764862500087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-1-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,0,0,73,0,6,6,60,,,,,68.57321554200098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.54872283399891,68.57321554200098,68.57321554200098,68.57321554200098,68.57321554200098,68.57991320833437,68.57321554200098,68.57321554200098,70.34513537499879,Correct! صحیح است,1,1,4,1.762156832999608,None,70.349036874999,70.35993658400184,72.36564429200007,72.343118959001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-1-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,0,0,73,0,7,7,0,,,,,72.36564429200007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.34330833399872,72.36564429200007,72.36564429200007,72.36564429200007,72.36564429200007,72.35955708366625,72.36564429200007,72.36564429200007,74.02561208399857,Correct! صحیح است,1,1,1,1.657937583997409,None,74.02994212500198,74.04269308400035,,76.0358646249988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-4-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,0,0,73,0,8,8,3,,,,,76.05771562500013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0360365000015,76.05771562500013,76.05771562500013,76.05771562500013,76.05771562500013,76.05249287566791,76.05771562500013,76.05771562500013,77.22586933400089,Correct! صحیح است,1,1,1,1.1626753750024363,None,77.22976466700129,77.24076575000072,,79.23017687500032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-11-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,0,0,73,0,9,9,70,,,,,79.25220866699965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.23035700000037,79.25220866699965,79.25220866699965,79.25220866699965,79.25220866699965,79.24679616666641,79.25220866699965,79.25220866699965,81.41103545900114,Correct! صحیح است,1,1,4,2.1533042500013835,None,81.41592895899885,81.42937987500045,83.43512308400022,83.41303745899859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-4-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,0,0,73,0,10,10,23,,,,,83.43512308400022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.41323700000066,83.43512308400022,83.43512308400022,83.43512308400022,83.43512308400022,83.4294989586672,83.43512308400022,83.43512308400022,85.77856729199993,Correct! صحیح است,1,1,2,2.339044874999672,None,85.78249275000053,85.79387337500157,,87.78857216699907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-15-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,0,0,73,0,11,11,74,,,,,87.8139517089985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.78932045900001,87.8139517089985,87.8139517089985,87.8139517089985,87.8139517089985,87.82176804233362,87.8139517089985,87.8139517089985,90.56131987499975,Correct! صحیح است,1,1,4,2.746237999999721,None,90.56535708400042,90.57672512499994,92.58216712500143,92.56073629200182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-19-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,0,0,73,0,12,12,78,,,,,92.58216712500143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.56092016700131,92.58216712500143,92.58216712500143,92.58216712500143,92.58216712500143,92.57713625066778,92.58216712500143,92.58216712500143,95.73456237500068,Correct! صحیح است,1,1,4,3.141684666999936,None,95.73885191700174,95.75041404199874,,97.7430892500015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-16-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,0,0,73,0,13,13,15,,,,,97.76470291700025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.74328070900083,97.76470291700025,97.76470291700025,97.76470291700025,97.76470291700025,97.75971562566725,97.76470291700025,97.76470291700025,99.34854891700161,Correct! صحیح است,1,1,1,1.581180208002479,None,99.35256650000156,99.36331900000005,,101.35500233399944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-16-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,0,0,73,0,14,14,75,,,,,101.37897525000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.35520733399972,101.37897525000153,101.37897525000153,101.37897525000153,101.37897525000153,101.38830333333365,101.37897525000153,101.37897525000153,103.03160624999873,Correct! صحیح است,1,1,4,1.6505314589994668,None,103.03541387500081,103.04734104200179,105.05327879200195,105.03160458400089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106290,001,2024-07-01_21h09.58.231,5-24,2024.1.4,None,2024-07-01 21h10.03.014992 +0900,
