SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,TrainingLoopGroup2.thisRepN,TrainingLoopGroup2.thisTrialN,TrainingLoopGroup2.thisN,TrainingLoopGroup2.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,Response3.keys,Response3.rt,Response3.duration,correct_responses,total_trials,FeedbackRoutine3.started,FeedbackText3.started,FeedbackText3.stopped,FeedbackRoutine3.stopped,TransitionRoutine.started,TransitionRoutine.stopped,nextRoutine,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-4-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,5,5,43,,,,,65.23719387500023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.21037299999989,65.23719387500023,65.23719387500023,65.23719387500023,65.23719387500023,65.24252754233251,65.23719387500023,65.23719387500023,66.40126212500036,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,2,1.1617775419999816,None,0,6,66.40547675000016,66.41916254199896,68.4261388750001,68.40194750000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-2-En.wav,Speaker1,گوینده ۱,,,,,,,,,,,,,,,,0,6,6,1,,,,,68.4261388750001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.4021254170002,68.4261388750001,68.4261388750001,68.4261388750001,68.4261388750001,68.43504183333292,68.4261388750001,68.4261388750001,69.39913358400008,Incorrect! The correct answer is Speaker1. نادرست! پاسخ صحیح گوینده ۱ است,2,0.9681457919996319,None,0,7,69.40327208400049,69.41744708400074,71.42554779199963,71.40320233400053,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-12-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,7,7,31,,,,,71.42554779199963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.40336924999974,71.42554779199963,71.42554779199963,71.42554779199963,71.42554779199963,71.41969779166563,71.42554779199963,71.42554779199963,72.65294499999982,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,3,1.2178719590010587,None,0,8,72.65705595899999,72.67015775000073,74.67640808400029,74.6532084169994,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-10-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,8,8,29,,,,,74.67640808400029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.65339029200004,74.67640808400029,74.67640808400029,74.67640808400029,74.67640808400029,74.68630750033347,74.67640808400029,74.67640808400029,76.01729058399906,Correct! صحیح است,2,1.3370773750011722,None,0,9,76.021360834,76.0342416250005,,78.0271133339993,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-5-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,9,9,64,,,,,78.05383425000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.02765737499976,78.05383425000036,78.05383425000036,78.05383425000036,78.05383425000036,78.06028337533328,78.05383425000036,78.05383425000036,79.18097395899895,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,3,1.1227531250005995,None,0,10,79.18490075000045,79.19815691700023,81.20705304200055,81.18448262499987,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-17-En.wav,Speaker4,گوینده۴,,,,,,,,,,,,,,,,0,10,10,76,,,,,81.20705304200055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.18465425000068,81.20705304200055,81.20705304200055,81.20705304200055,81.20705304200055,81.20089341666632,81.20705304200055,81.20705304200055,82.00452824999957,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,3,0.7953077500005747,None,0,11,82.00862183400022,82.02282650000052,,84.01864733399998,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-19-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,11,11,58,,,,,84.04488395899898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.01919275,84.04488395899898,84.04488395899898,84.04488395899898,84.04488395899898,84.05179137533244,84.04488395899898,84.04488395899898,85.1210900419992,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,2,1.075176124999416,None,0,12,85.12482091699894,85.13782870899922,87.1491972090007,87.12309754200032,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-15-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,12,12,54,,,,,87.1491972090007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.12392458400063,87.1491972090007,87.1491972090007,87.1491972090007,87.1491972090007,87.15552420833276,87.1491972090007,87.1491972090007,88.31173166699955,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,2,1.1552963329995691,None,0,13,88.31685295900024,88.33073470899944,,90.31838425000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-20-En.wav,Speaker3,گوینده۳,,,,,,,,,,,,,,,,0,13,13,59,,,,,90.34063133400014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.31854454200038,90.34063133400014,90.34063133400014,90.34063133400014,90.34063133400014,90.33501404166624,90.34063133400014,90.34063133400014,91.46728016700035,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,2,1.1232189169986668,None,0,14,91.47123912499956,91.483669792,,93.4729601250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-8-En.wav,Speaker2,گوینده۲,,,,,,,,,,,,,,,,0,14,14,27,,,,,93.49616170899935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.47313483399921,93.49616170899935,93.49616170899935,93.49616170899935,93.49616170899935,93.48958854166655,93.49616170899935,93.49616170899935,94.77561841699935,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,3,1.276280707999831,None,0,15,94.78031408400057,94.79396695899959,,96.7845725419993,,,,,,,,,,,,,,,,,,,,,,,,,,,,117743,001,2024-06-30_12h55.52.894,5-22,2024.1.4,None,2024-06-30 12h55.59.808038 +0900,
