SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,repeated_TrainingLoopGroup3.thisRepN,repeated_TrainingLoopGroup3.thisTrialN,repeated_TrainingLoopGroup3.thisN,repeated_TrainingLoopGroup3.thisIndex,TrainingLoopGroup3.thisRepN,TrainingLoopGroup3.thisTrialN,TrainingLoopGroup3.thisN,TrainingLoopGroup3.thisIndex,testPhase3Loop.thisRepN,testPhase3Loop.thisTrialN,testPhase3Loop.thisN,testPhase3Loop.thisIndex,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Introduction.started,text_2.started,image.started,sound_7.started,text_4.started,text_2.stopped,sound_8.started,image.stopped,text_4.stopped,image_7.started,sound_9.started,text_5.started,sound_10.started,image_7.stopped,text_5.stopped,image_8.started,sound_11.started,text_6.started,sound_12.started,image_8.stopped,text_6.stopped,image_9.started,sound_13.started,text_7.started,sound_14.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup3.started,SpeakerPicture3.started,image_15.started,image_16.started,image_17.started,Sound3.started,Instruction3.started,Response3.started,TrainingGroup3.stopped,feedbackText,correct_responses_group3,total_trials_group3,Response3.keys,Response3.rt,Response3.duration,FeedbackRoutine3.started,FeedbackText3.started,FeedbackRoutine3.stopped,FeedbackText3.stopped,CheckAccuracy3.started,accuracy_group3,proceed_to_test,CheckAccuracy3.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase3.started,test3_image1.started,test3_image2.started,test3_image3.started,test3_image4.started,test3_sound.started,text_10.started,test3_response_keyboard.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-11-En.wav,Speaker3,گوینده۳,0,0,0,15,0,5,5,50,,,,,,,,,,,,60.8544629579992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.83178279099957,60.8544629579992,60.8544629579992,60.8544629579992,60.8544629579992,60.8482610416652,60.8544629579992,60.8544629579992,60.93751045799945,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.07815220799966482,None,60.9412000409975,60.9534073750001,62.93779345799703,62.96411212499879,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-5-En.wav,Speaker3,گوینده۳,0,0,0,15,0,6,6,44,,,,,,,,,,,,62.96411212499879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.93870983299712,62.96411212499879,62.96411212499879,62.96411212499879,62.96411212499879,62.970290249330475,62.96411212499879,62.96411212499879,63.125082708000264,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.1598058339986892,None,63.130006332998164,63.14342258299803,65.12750599999708,65.15111716599858,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_En/P4-19-En.wav,Speaker4,گوینده۴,0,0,0,15,0,7,7,78,,,,,,,,,,,,65.15111716599858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.12798437499805,65.15111716599858,65.15111716599858,65.15111716599858,65.15111716599858,65.16002020833233,65.15111716599858,65.15111716599858,65.45077887499792,Incorrect! The correct answer is Speaker4. نادرست! پاسخ صحیح گوینده۴ است,0,1,1,0.29482999999891035,None,65.45466404099716,65.4669524159981,67.4497823749989,67.47194091599886,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-19-En.wav,Speaker3,گوینده۳,0,0,0,15,0,8,8,58,,,,,,,,,,,,67.47194091599886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.44996266599992,67.47194091599886,67.47194091599886,67.47194091599886,67.47194091599886,67.46620808266404,67.47194091599886,67.47194091599886,67.65387958299834,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,0.1801413749999483,None,67.65913733299749,67.67238137499953,69.65775458299686,69.68335929099703,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-8-En.wav,Speaker2,گوینده۲,0,0,0,15,0,9,9,27,,,,,,,,,,,,69.68335929099703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.65793729099823,69.68335929099703,69.68335929099703,69.68335929099703,69.68335929099703,69.69073520833311,69.68335929099703,69.68335929099703,69.68397924999954,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,2.1979911669986905,None,69.68436045799899,69.69451829099853,71.67870458299876,71.70107945799828,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-3-En.wav,Speaker1,گوینده ۱,0,0,0,15,0,10,10,2,,,,,,,,,,,,71.70107945799828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.67887170799804,71.70107945799828,71.70107945799828,71.70107945799828,71.70107945799828,71.69515962466564,71.70107945799828,71.70107945799828,71.9752250829988,Correct! صحیح است,1,1,1,0.2709073339974566,None,71.9803992499983,71.99415795799723,73.97927666599935,74.0028239159983,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-2-En.wav,Speaker2,گوینده۲,0,0,0,15,0,11,11,21,,,,,,,,,,,,74.0028239159983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9794448749999,74.0028239159983,74.0028239159983,74.0028239159983,74.0028239159983,74.01239795833001,74.0028239159983,74.0028239159983,74.20474962499793,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,0.20081787500021164,None,74.20847679099825,74.22130149999794,76.2072184159988,76.22855195800003,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_En/P1-19-En.wav,Speaker1,گوینده ۱,0,0,0,15,0,12,12,18,,,,,,,,,,,,76.22855195800003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.2074164159967,76.22855195800003,76.22855195800003,76.22855195800003,76.22855195800003,76.22355249966519,76.22855195800003,76.22855195800003,76.2291433749997,Correct! صحیح است,1,1,1,2.18683695800064,None,76.23280754099687,76.24058529099784,78.22528733299987,78.2484943749987,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_En/P3-6-En.wav,Speaker3,گوینده۳,0,0,0,15,0,13,13,45,,,,,,,,,,,,78.2484943749987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.22545633299887,78.2484943749987,78.2484943749987,78.2484943749987,78.2484943749987,78.25834358333353,78.2484943749987,78.2484943749987,78.24914708299912,Incorrect! The correct answer is Speaker3. نادرست! پاسخ صحیح گوینده۳ است,0,1,1,1.9525149170003715,None,78.24936216599963,78.25894941599836,80.24575849999746,80.26806320799733,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_En/P2-13-En.wav,Speaker2,گوینده۲,0,0,0,15,0,14,14,32,,,,,,,,,,,,80.26806320799733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.24592408299941,80.26806320799733,80.26806320799733,80.26806320799733,80.26806320799733,80.26223529166624,80.26806320799733,80.26806320799733,80.43442804099686,Incorrect! The correct answer is Speaker2. نادرست! پاسخ صحیح گوینده۲ است,0,1,1,0.16402062499764725,None,80.43817958299769,80.45089091599948,82.43896916599988,82.46442095800012,,,,,,,,,,,,,,,,,789745,001,2024-07-02_11h26.34.870,5-31,2024.1.4,None,2024-07-02 11h26.40.798171 +0900,
