SpeakerImage1,SpeakerImage2,SpeakerImage3,SpeakerImage4,TrainingSound,EnglishCorrectAnswer,PersianCorrectAnswer,SpeakerPhoto1,SpeakerPhoto2,SpeakerPhoto3,SpeakerPhoto4,TestingSound,EnglishCorrectResponse,PersianCorrectResponse,repeated_TrainingLoopGroup1.thisRepN,repeated_TrainingLoopGroup1.thisTrialN,repeated_TrainingLoopGroup1.thisN,repeated_TrainingLoopGroup1.thisIndex,TrainingLoopGroup1.thisRepN,TrainingLoopGroup1.thisTrialN,TrainingLoopGroup1.thisN,TrainingLoopGroup1.thisIndex,testPhase1Loop.thisRepN,testPhase1Loop.thisTrialN,testPhase1Loop.thisN,testPhase1Loop.thisIndex,thisRow.t,notes,trial.started,trial.stopped,GroupSelection.started,GroupInstructions.started,key_resp.started,GroupSelection.stopped,key_resp.keys,key_resp.rt,key_resp.duration,HeadphoneCheck.started,text_13.started,mouse.started,checkbox.started,HeadphoneCheck.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Headphone_Used,Introduction.started,text_2.started,text_2.stopped,image.started,sound_8.started,text_4.started,image.stopped,text_4.stopped,image_7.started,sound_10.started,text_5.started,image_7.stopped,text_5.stopped,image_8.started,sound_12.started,text_6.started,image_8.stopped,text_6.stopped,image_9.started,sound_14.started,text_7.started,image_9.stopped,text_7.stopped,Introduction.stopped,Instructions.started,InstructionText.started,InstructionText.stopped,Instructions.stopped,Countdown.started,number1.started,number1.stopped,number2.started,number2.stopped,number3.started,number3.stopped,start.started,start.stopped,silence.started,silence.stopped,Countdown.stopped,InitializeExperiment.started,InitializeExperiment.stopped,TrainingGroup1.started,image_1.started,image_2.started,image_3.started,image_4.started,sound1.started,Instruction.started,ResponseKey.started,SessionNumberText.started,TrainingGroup1.stopped,feedbackText,correct_responses_group1,total_trials_group1,ResponseKey.keys,ResponseKey.rt,ResponseKey.duration,FeedbackRoutine1.started,FeedbackText.started,FeedbackRoutine1.stopped,Break.started,Break.stopped,mouse1.x,mouse1.y,mouse1.leftButton,mouse1.midButton,mouse1.rightButton,mouse1.time,mouse1.clicked_name,Proceed_Break,FeedbackText.stopped,break_message.started,checkbox1.started,text_component.started,mouse1.started,CheckAccuracy1.started,accuracy_group1,proceed_to_test,CheckAccuracy1.stopped,WelcomeTest.started,text_12.started,text_12.stopped,WelcomeTest.stopped,TestPhase1.started,test1_image1.started,test1_image2.started,test1_image3.started,test1_image4.started,test1_sound.started,text_3.started,test1_response_keyboard.started,TestPhase1.stopped,test1_response_keyboard.keys,test1_response_keyboard.rt,test1_response_keyboard.duration,test1_response,test1_image_file1,test1_image_file2,test1_image_file3,test1_image_file4,test1_sound_file,english_correct_answer,persian_correct_answer,Finish.started,text_11.started,Finish.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-17-Per.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,68,0,3,3,56,,,,,62.70793741599846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.684397749999334,62.70793741599846,62.70793741599846,62.70793741599846,62.70793741599846,62.71519612433306,62.70793741599846,62.70793741599846,62.70793741599846,62.88162462499895,نادرست! پاسخ صحیح گوینده۳ است,0,4,1,0.17254995800249162,None,62.885823874999915,62.89731687499807,64.89362929099661,64.89366241599782,64.89400554099848,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358248,001,2024-08-04_14h51.22.104,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 14h51.26.586555 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-4-Per.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,68,0,4,4,13,,,,,64.9203338749976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.89545112499763,64.9203338749976,64.9203338749976,64.9203338749976,64.9203338749976,64.9267827493318,64.9203338749976,64.9203338749976,64.9203338749976,65.06723458299894,صحیح است,1,5,1,0.14589591599724372,None,65.07147724999959,65.08288299999913,67.07531587499761,67.07533495799726,67.07546420799918,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358248,001,2024-08-04_14h51.22.104,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 14h51.26.586555 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-11-Per.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,68,0,5,5,50,,,,,67.10084149999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.07589991599889,67.10084149999966,67.10084149999966,67.10084149999966,67.10084149999966,67.10858091633102,67.10084149999966,67.10084149999966,67.10084149999966,67.43249820799974,نادرست! پاسخ صحیح گوینده۳ است,1,6,1,0.3296410830007517,None,67.43650554099804,67.44760633299666,69.43275374999939,69.4327663749973,69.43288116599797,[],[],[],[],[],[],[],False,69.45620908299679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358248,001,2024-08-04_14h51.22.104,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 14h51.26.586555 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-7-Per.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,68,0,6,6,66,,,,,69.45620908299679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.43330633299774,69.45620908299679,69.45620908299679,69.45620908299679,69.45620908299679,69.46584079133075,69.45620908299679,69.45620908299679,69.45620908299679,69.79510775000017,نادرست! پاسخ صحیح گوینده۴ است,1,7,1,0.3376388329998008,None,69.79932237499816,69.81141337499866,71.80066212499878,71.800689124997,71.80102270799762,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358248,001,2024-08-04_14h51.22.104,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 14h51.26.586555 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-1-Per.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,68,0,7,7,20,,,,,71.8275353329991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.80235470799744,71.8275353329991,71.8275353329991,71.8275353329991,71.8275353329991,71.83379837432997,71.8275353329991,71.8275353329991,71.8275353329991,72.0417581249967,نادرست! پاسخ صحیح گوینده۲ است,1,8,1,0.21071912499974133,None,72.04556633299944,72.05642729099782,74.04078629099968,74.04079654099769,74.04088974999831,[],[],[],[],[],[],[],False,74.06531687499955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358248,001,2024-08-04_14h51.22.104,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 14h51.26.586555 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-15-Per.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,68,0,8,8,54,,,,,74.06531687499955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.04131095799676,74.06531687499955,74.06531687499955,74.06531687499955,74.06531687499955,74.0738458743331,74.06531687499955,74.06531687499955,74.06531687499955,74.62909529099852,نادرست! پاسخ صحیح گوینده۳ است,1,9,1,0.5623034160016687,None,74.63309083299828,74.64472845799901,76.63444229099696,76.63445274999685,76.63456266599678,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358248,001,2024-08-04_14h51.22.104,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 14h51.26.586555 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker3_Per/P3-7-Per.wav,Speaker3,گوینده۳,,,,,,,,0,0,0,68,0,9,9,46,,,,,76.65798741599792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.6349867079989,76.65798741599792,76.65798741599792,76.65798741599792,76.65798741599792,76.65106341666639,76.65798741599792,76.65798741599792,76.65798741599792,76.95188224999947,نادرست! پاسخ صحیح گوینده۳ است,1,10,1,0.2847606249997625,None,76.95590579099735,76.96702291600013,78.95976637499916,78.95979729099781,78.96015091599838,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358248,001,2024-08-04_14h51.22.104,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 14h51.26.586555 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker4_Per/P4-19-Per.wav,Speaker4,گوینده۴,,,,,,,,0,0,0,68,0,10,10,78,,,,,78.98920583299696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.96167974999844,78.98920583299696,78.98920583299696,78.98920583299696,78.98920583299696,78.99294808333119,78.98920583299696,78.98920583299696,78.98920583299696,79.23941729099897,نادرست! پاسخ صحیح گوینده۴ است,1,11,1,0.24159470800077543,None,79.24341912499949,79.25524120799673,81.24245937499654,81.24246937499993,81.24257620799835,[],[],[],[],[],[],[],False,81.26583008299713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358248,001,2024-08-04_14h51.22.104,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 14h51.26.586555 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker1_Per/P1-4-Per.wav,Speaker1,گوینده ۱,,,,,,,,0,0,0,68,0,11,11,3,,,,,81.26583008299713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.24298895799802,81.26583008299713,81.26583008299713,81.26583008299713,81.26583008299713,81.25889420766568,81.26583008299713,81.26583008299713,81.26583008299713,81.52449233299922,صحیح است,2,12,1,0.2577275420007936,None,81.52839312499782,81.53801929099791,83.52248424999925,83.52249449999726,83.52260929099793,[],[],[],[],[],[],[],False,83.54551708299914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358248,001,2024-08-04_14h51.22.104,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 14h51.26.586555 +0900,
Images/Speaker1.jpg,Images/Speaker2.jpg,Images/Speaker3.jpg,Images/Speaker4.jpg,Audio/Speaker2_Per/P2-19-Per.wav,Speaker2,گوینده۲,,,,,,,,0,0,0,68,0,12,12,38,,,,,83.54551708299914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.52302004099693,83.54551708299914,83.54551708299914,83.54551708299914,83.54551708299914,83.53893845766676,83.54551708299914,83.54551708299914,83.54551708299914,83.71746754099877,نادرست! پاسخ صحیح گوینده۲ است,2,13,1,0.1701009169992176,None,83.72155441599898,83.7324141249992,85.72206899999946,85.7220788329978,85.722173457998,[],[],[],[],[],[],[],False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358248,001,2024-08-04_14h51.22.104,5-34 ready-monolingual persian speaker,2024.1.5,None,2024-08-04 14h51.26.586555 +0900,
